"entidad","municipio","seccion","pobtot","p_60ymas","p18ym_pb","pea","vph_inter","num_zu","num_ss","num_farm"
10,1,1,413,92,172,197,61,1,2,1
10,1,2,1088,226,462,532,160,1,11,4
10,1,3,2961,270,1203,1368,397,1,4,2
10,1,4,1774,167,454,805,146,1,1,1
10,1,5,1373,235,548,661,185,1,11,5
10,1,6,2162,268,666,946,195,1,1,1
10,1,7,1002,120,274,422,88,1,1,1
10,1,8,940,183,132,360,9,1,1,1
10,1,9,751,149,85,285,10,1,1,1
10,1,10,207,40,11,68,1,1,1,1
10,1,12,238,19,14,87,2,1,1,1
10,1,13,760,147,101,303,26,1,1,1
10,1,14,434,72,32,173,43,1,1,1
10,1,15,925,163,124,371,39,1,1,1
10,1,16,438,75,39,223,35,1,1,1
10,1,17,216,29,14,69,13,1,1,1
10,1,19,178,30,9,72,1,1,1,1
10,1,20,205,68,31,100,1,1,1,1
10,1,21,165,30,20,59,2,1,1,1
10,1,22,1448,189,300,579,83,1,1,1
10,1,23,712,92,134,279,34,1,1,1
10,1,24,362,96,41,170,1,1,1,1
10,1,25,808,129,98,315,6,1,1,1
10,1,26,1393,235,157,507,10,1,1,1
10,1,27,1249,201,124,452,11,1,1,1
10,1,28,826,150,318,394,111,1,1,1
10,1,29,1386,152,750,451,102,1,1,1
10,1,30,1367,179,323,534,18,1,1,1
10,1,31,974,140,166,384,9,1,1,1
10,1,32,531,69,118,219,18,1,1,1
10,1,33,373,58,45,167,40,1,1,1
10,1,34,274,35,11,109,21,1,1,1
10,1,35,251,28,25,157,3,1,1,1
10,1,37,1265,189,298,495,23,1,1,1
10,1,38,862,125,107,246,10,1,1,1
10,1,39,438,31,57,172,6,1,1,1
10,1,40,655,103,110,311,7,1,1,1
10,2,42,1000,108,141,343,123,1,3,3
10,2,43,67,8,1,27,1,1,1,1
10,2,44,284,51,15,94,31,1,1,1
10,2,46,175,10,14,55,27,1,1,1
10,2,47,304,43,24,85,26,1,1,1
10,2,48,422,30,23,114,33,1,1,1
10,2,50,301,39,10,104,42,1,1,1
10,2,51,85,14,0,29,9,1,1,1
10,2,52,240,20,15,62,16,1,1,1
10,2,53,357,25,22,71,14,1,1,1
10,2,54,446,20,12,95,40,1,1,1
10,2,55,164,20,32,66,13,1,1,1
10,2,56,422,46,42,104,4,1,1,1
10,3,57,754,94,153,244,128,1,2,1
10,3,58,192,22,11,82,2,1,1,1
10,3,59,163,17,2,52,0,1,1,1
10,3,60,395,70,36,132,7,1,1,1
10,3,61,172,26,16,35,0,1,1,1
10,3,62,280,52,13,76,32,1,1,1
10,3,63,1256,137,178,311,133,1,1,1
