"entidad","municipio","seccion","pobtot","p_60ymas","p18ym_pb","pea","vph_inter","num_zu","num_ss","num_farm"
11,1,1,2149,264,540,1049,230,1,7,2
11,1,2,2302,280,540,1156,285,1,15,5
11,1,3,1377,265,411,766,170,1,2,1
11,1,4,1214,266,485,622,202,1,43,14
11,1,5,1195,191,299,603,121,1,3,1
11,1,6,4476,353,518,2156,242,1,1,1
11,1,7,1781,254,400,890,165,1,1,1
11,1,8,1531,291,446,782,221,1,3,1
11,1,9,3063,356,781,1526,421,1,8,1
11,1,10,2225,295,541,1061,333,1,1,1
11,1,11,5341,380,1418,2744,599,1,1,1
11,1,12,1524,237,209,539,150,1,1,1
11,1,13,1122,141,137,553,118,1,1,1
11,1,14,384,55,36,155,13,1,1,1
11,1,15,955,133,88,447,57,1,1,1
11,1,16,2706,280,267,1164,128,1,1,1
11,1,17,1922,242,282,695,91,1,2,1
11,1,18,1143,163,162,500,76,1,1,1
11,1,19,1522,198,134,854,19,1,1,1
11,1,20,2885,315,310,1226,163,1,1,1
11,1,21,2711,271,388,1250,188,1,1,1
11,1,22,3286,337,219,1468,121,1,1,1
11,1,23,537,53,69,267,13,1,1,1
11,1,24,2125,318,503,996,216,1,1,1
11,1,25,1252,183,209,638,157,1,1,1
11,1,26,2186,189,241,965,63,1,1,1
11,1,27,2243,223,297,1106,87,1,1,1
11,1,28,545,47,32,214,13,1,1,1
11,1,29,1261,170,136,555,39,1,1,1
11,1,30,1027,167,102,428,180,1,1,1
11,1,31,2063,176,198,774,74,1,1,1
11,1,32,2044,186,194,903,34,1,1,1
11,1,33,1833,186,319,881,133,1,1,1
11,1,34,2116,359,217,911,182,1,1,1
11,1,35,1619,153,138,786,86,1,1,1
11,1,36,1286,113,151,580,73,1,1,1
11,1,37,1454,252,159,534,89,1,1,1
11,1,38,3394,343,539,1596,237,1,1,1
11,1,39,3112,196,456,1418,228,1,1,1
11,1,40,1852,308,220,758,103,1,1,1
11,1,41,1350,316,140,530,188,1,1,1
11,1,42,1892,203,151,861,69,1,1,1
11,1,43,810,60,77,362,4,1,1,1
11,1,44,1096,164,191,471,167,1,1,1
11,1,45,393,77,39,144,31,1,1,1
11,1,46,1244,182,260,503,51,1,1,1
11,1,47,1608,274,228,687,112,1,1,1
11,1,48,1209,220,148,485,88,1,1,1
11,1,49,720,126,145,321,52,1,1,1
11,1,50,2821,266,435,1152,334,1,3,3
11,2,51,4660,518,1636,2385,775,1,5,1
11,2,52,916,166,281,442,122,1,1,1
11,2,53,728,211,405,376,183,1,21,2
11,2,54,696,193,349,381,174,1,18,1
11,2,55,612,114,222,327,110,1,1,1
11,2,56,1470,220,322,748,298,1,1,1
11,2,57,1145,147,239,630,159,1,1,1
11,2,58,2085,257,465,986,194,1,2,1
11,2,59,1046,213,354,524,172,1,2,1
11,2,60,785,206,371,420,171,1,19,8
11,2,61,825,236,435,376,206,1,24,2
11,2,62,849,194,313,408,124,1,10,3
11,2,63,568,155,302,309,152,1,16,12
11,2,64,820,142,237,357,99,1,2,1
11,2,65,1658,246,381,814,163,1,2,1
11,2,66,738,183,293,392,155,1,15,5
11,2,67,3452,460,1123,1577,437,1,3,1
11,2,68,702,192,312,356,147,1,36,11
11,2,69,725,164,302,378,133,1,15,2
11,2,70,1068,180,254,527,128,1,1,1
11,2,71,1524,218,283,710,153,1,1,1
11,2,72,1106,227,346,562,167,1,2,1
11,2,73,763,224,346,381,141,1,41,5
11,2,74,1901,370,774,928,322,2,7,3
11,2,75,624,147,237,333,118,1,7,3
11,2,76,726,154,275,337,106,1,9,2
11,2,77,1455,241,444,718,167,1,6,1
11,2,78,1794,259,458,891,245,1,1,1
11,2,79,1890,226,550,1180,274,1,1,1
11,2,80,1264,231,311,730,153,1,7,2
11,2,81,4654,462,1932,2419,798,1,5,2
11,2,82,1383,187,346,652,148,1,1,1
11,2,83,1778,236,433,929,208,1,1,1
11,2,84,1793,211,372,871,180,1,1,1
11,2,85,1726,221,390,828,169,1,1,1
11,2,86,5195,524,819,2628,440,1,1,2
11,2,87,178,25,2,69,0,1,1,1
11,2,88,196,30,3,75,0,1,1,1
11,2,89,677,156,38,253,14,1,1,1
11,2,90,285,55,7,129,2,1,1,1
