"entidad","municipio","seccion","pobtot","p_60ymas","p18ym_pb","pea","vph_inter","num_zu","num_ss","num_farm"
13,1,1,1663,224,453,953,221,1,8,8
13,1,2,1650,210,318,913,157,1,4,2
13,1,3,278,37,16,187,2,1,1,1
13,1,4,405,29,7,268,8,1,1,1
13,1,5,952,125,78,571,57,1,1,1
13,1,6,1513,204,179,969,165,1,1,1
13,1,7,1482,186,215,716,122,1,1,1
13,1,8,2574,313,244,1128,182,1,1,1
13,1,9,3966,412,575,2066,366,1,1,1
13,1,10,3589,408,424,1704,229,1,1,1
13,1,11,2928,339,564,1376,294,1,1,1
13,1,12,640,76,54,237,22,1,1,1
13,2,13,2828,300,713,1542,200,1,15,13
13,2,14,2266,215,438,1162,115,1,1,1
13,2,15,799,66,62,415,2,1,1,1
13,2,16,963,107,68,343,4,1,1,1
13,2,17,2121,119,44,1164,0,1,1,1
13,2,18,214,27,2,73,2,1,1,1
13,2,19,2271,155,123,816,31,1,1,1
13,2,20,1689,183,82,880,11,1,1,1
13,2,21,3650,316,84,1645,8,1,2,3
13,2,22,1670,193,198,890,37,1,1,1
13,2,23,3275,355,324,1466,58,1,1,1
13,2,24,3480,352,548,1607,147,1,1,1
13,2,25,1747,201,283,775,50,1,1,1
13,2,26,269,41,17,120,5,1,1,1
13,2,27,4639,399,179,1932,11,1,1,1
13,2,28,1469,114,128,816,7,1,1,1
13,2,29,2969,250,508,1289,66,1,1,1
13,2,30,4428,321,186,2413,17,1,1,1
13,2,31,1522,99,48,688,7,1,1,1
13,2,32,1832,185,190,828,20,1,1,1
13,2,33,2067,204,151,1173,10,1,1,1
13,3,34,6848,595,2730,3844,955,1,6,4
13,3,35,3962,367,1055,2069,398,1,3,3
13,3,36,1692,220,576,896,205,1,2,1
13,3,37,2590,325,930,1397,320,1,2,1
13,3,38,1528,271,613,816,239,1,13,2
13,3,39,1888,321,882,1048,316,1,12,3
13,3,40,2054,393,899,1101,324,1,15,3
13,3,41,3136,335,998,1722,340,1,1,1
13,3,42,1763,217,479,874,136,1,1,1
13,3,43,1191,257,572,635,220,1,12,1
13,3,44,1465,308,701,798,259,1,31,16
13,3,45,1423,291,705,756,264,1,13,1
13,3,46,2095,297,1041,1152,365,1,12,6
13,3,47,1268,221,499,627,176,1,4,1
13,3,48,136,33,10,70,0,1,1,1
13,3,49,269,70,5,127,0,1,1,1
13,3,51,396,90,17,209,2,1,1,1
13,3,52,1564,178,328,870,125,1,1,1
13,3,53,1066,109,287,541,84,1,1,1
13,3,54,1801,183,416,1056,147,1,1,1
13,3,55,1283,186,334,670,119,1,1,1
13,3,56,1279,189,204,694,48,1,1,1
13,3,57,718,127,53,345,17,1,1,1
13,3,58,663,67,89,349,17,1,1,1
13,3,59,1827,155,461,920,163,1,1,1
13,3,60,2668,314,701,1550,248,1,1,1
13,3,61,878,92,332,459,98,1,1,1
13,3,62,2299,258,555,1271,132,1,1,1
13,3,63,964,104,193,478,48,1,1,1
13,3,64,729,113,235,448,68,1,1,1
13,3,65,1677,183,297,848,48,1,1,1
13,3,66,2968,353,503,1536,103,1,1,1
13,3,67,2077,271,471,1084,159,1,3,1
13,3,68,1839,244,472,1018,133,1,2,1
13,4,69,3749,414,852,1759,223,1,6,7
13,4,70,176,37,8,72,0,1,1,1
13,4,71,242,41,10,86,0,1,1,1
13,4,72,579,64,32,194,2,1,1,1
13,4,73,456,76,16,169,3,1,1,1
13,4,74,502,78,78,203,12,1,1,1
13,4,75,400,49,65,154,6,1,1,1
13,4,76,336,52,24,157,1,1,1,1
13,4,77,929,123,79,468,8,1,1,1
13,4,78,1417,159,199,616,35,1,1,1
13,4,79,1628,209,317,721,79,1,1,1
13,4,80,601,79,95,320,24,1,1,1
13,5,81,2265,276,611,1240,275,1,7,4
13,5,82,1691,246,379,802,243,1,1,1
13,5,83,2289,305,534,1197,373,1,1,2
13,5,84,1828,268,509,914,262,1,2,1
13,5,85,1844,268,362,826,210,1,1,1
13,5,86,2649,447,485,1186,111,1,2,2
13,5,87,308,58,67,137,65,1,1,1
13,5,88,3541,493,697,1632,422,1,4,1
13,5,89,1449,173,295,676,224,1,2,1
13,5,90,637,87,101,232,97,1,1,1
13,5,91,537,60,68,239,83,1,1,1
13,6,92,3025,396,878,1705,236,1,18,12
13,6,93,1242,208,252,613,49,1,1,1
13,6,94,1085,185,135,466,40,1,1,1
13,6,95,456,125,78,205,13,1,1,1
13,6,96,516,109,66,211,13,1,1,1
13,6,97,829,172,74,546,10,1,1,1
13,6,98,162,28,30,75,6,1,1,1
13,6,99,1324,149,174,614,40,1,1,1
13,6,100,1471,174,192,945,17,1,1,1
13,6,101,1981,286,412,1034,76,1,1,1
13,6,102,409,69,77,180,9,1,1,1
13,6,103,1048,133,176,625,24,1,1,1
13,6,104,1118,169,174,638,24,1,1,1
13,6,105,420,62,56,257,1,1,1,1
13,6,106,1011,162,216,475,30,1,1,1
13,6,107,766,111,99,346,13,1,1,1
13,6,108,456,116,102,220,17,1,1,1
13,6,109,363,94,43,138,10,1,1,1
13,6,110,227,42,34,125,5,1,1,1
13,6,111,1057,192,153,484,18,1,1,1
13,6,112,141,43,19,49,1,1,1,1
13,6,113,436,81,43,148,1,1,1,1
13,7,114,2591,311,649,1168,198,1,4,4
13,7,115,2640,310,659,1243,234,1,7,1
13,7,116,272,51,19,133,0,1,1,1
13,7,117,546,84,49,212,11,1,1,1
13,7,118,320,53,19,144,12,1,1,1
13,7,119,712,77,82,356,12,1,1,1
13,7,120,209,43,18,97,0,1,1,1
13,7,121,869,128,90,408,8,1,1,1
13,7,122,1029,127,151,386,10,1,1,1
13,7,123,613,67,105,285,18,1,1,1
13,7,124,936,85,144,361,54,1,1,1
13,7,125,575,69,116,251,41,1,1,1
13,7,126,262,30,61,123,20,1,1,1
13,8,127,8781,916,2179,4205,931,1,4,3
13,8,128,2149,310,681,1043,319,1,4,1
13,8,129,3515,353,1265,1683,569,1,2,1
13,8,130,2132,295,706,1000,325,1,1,1
13,8,131,1197,209,458,623,190,1,7,1
13,8,132,913,178,400,424,155,1,13,1
13,8,133,987,221,444,469,195,1,21,16
13,8,134,1959,386,802,1094,332,1,17,6
13,8,135,4177,564,1562,2143,649,1,7,1
13,8,136,1540,270,660,740,290,1,8,1
13,8,137,2514,304,759,1163,285,1,1,1
13,8,138,2356,370,606,1071,259,1,1,1
13,8,139,766,116,101,305,70,1,1,1
13,8,140,318,63,23,171,4,1,1,1
13,8,141,376,52,26,143,15,1,1,1
13,8,142,771,135,58,499,3,1,1,1
13,8,143,2736,292,489,1238,168,1,1,1
13,8,144,927,107,201,409,111,1,1,1
13,8,145,1119,135,267,553,112,1,1,1
13,8,146,2178,326,525,1075,234,1,1,1
13,8,147,1407,186,231,643,130,1,1,1
13,8,148,2267,268,413,1119,142,1,1,1
13,8,149,512,38,71,209,2,1,1,1
13,8,150,815,136,130,312,21,1,1,1
13,8,151,1239,154,269,558,33,1,1,1
13,9,152,3176,520,1284,1509,471,1,19,12
13,9,153,4610,501,1365,2143,430,1,2,2
13,9,154,2813,340,782,1342,271,1,1,1
13,9,155,2779,239,766,1333,236,1,1,1
13,9,156,3687,410,1122,1785,357,1,4,3
13,9,157,5017,547,1966,2354,796,1,10,4
13,9,158,3027,293,537,1330,198,1,1,1
13,9,159,963,253,542,374,262,1,1,1
13,9,160,1025,241,556,359,287,1,1,1
13,9,161,4913,539,1613,2409,562,1,4,4
13,10,162,3295,431,1189,1590,334,1,16,10
13,10,163,1326,232,142,451,9,1,1,1
13,10,164,861,136,133,329,6,1,1,1
13,10,165,1729,329,495,693,107,1,1,1
13,10,166,1077,183,217,371,21,1,1,1
13,10,167,163,38,23,64,1,1,1,1
13,10,168,926,154,135,428,11,1,1,1
13,10,169,738,111,87,196,1,1,1,1
13,10,170,1113,287,130,411,15,1,1,1
13,10,171,1765,318,554,788,70,1,1,1
13,10,172,542,124,79,216,38,1,1,1
13,10,173,639,130,61,194,4,1,1,1
13,10,174,1257,174,161,467,84,1,1,1
13,10,175,1293,234,144,539,3,1,1,1
13,10,176,899,120,63,290,3,1,1,1
13,10,177,1257,281,69,477,39,1,1,1
13,11,178,4527,441,1157,2296,381,1,5,1
13,11,179,1394,238,607,715,201,1,17,16
13,11,180,1966,252,693,982,227,1,16,3
13,11,181,1843,232,707,978,216,1,15,4
13,11,182,271,44,24,131,5,1,1,1
13,11,183,211,58,13,125,0,1,1,1
13,11,184,957,125,53,445,1,1,1,1
13,11,185,144,37,9,79,0,1,1,1
13,11,186,449,101,51,229,11,1,1,1
13,11,187,1383,230,278,686,82,1,1,1
13,11,188,487,100,48,296,6,1,1,1
13,11,189,216,43,16,139,0,1,1,1
13,11,190,692,152,89,373,15,1,1,1
13,11,191,1512,229,181,701,43,1,1,1
13,11,192,734,169,30,404,14,1,1,1
13,11,193,1240,154,65,663,15,1,1,1
13,11,194,595,98,40,326,15,1,1,1
13,11,195,934,122,205,465,48,1,1,1
13,11,196,789,78,90,323,39,1,1,1
13,11,197,1417,268,222,635,71,1,1,1
13,11,198,205,43,20,131,2,1,1,1
13,11,199,664,81,78,324,10,1,1,1
13,11,200,1702,141,105,712,21,1,1,1
13,11,201,1735,181,250,1145,33,1,1,1
13,11,202,925,79,59,504,16,1,1,1
13,11,203,1146,131,274,619,78,1,1,1
13,11,204,2187,245,375,1159,72,1,1,1
13,11,205,291,45,34,154,6,1,1,1
13,12,206,2769,359,1029,1318,267,1,9,3
13,12,207,1684,233,663,763,159,1,7,4
13,12,208,2708,324,995,1414,333,1,1,2
13,12,209,3017,389,1134,1435,334,1,11,5
13,12,210,911,83,242,357,96,1,1,1
13,12,211,1826,196,464,809,168,1,1,1
13,12,212,1503,169,507,692,115,1,1,1
13,12,213,1419,133,370,648,167,1,1,1
13,12,214,1711,169,537,741,144,1,1,1
13,12,215,2504,295,730,1213,194,1,5,1
13,12,216,5262,484,1390,2346,369,1,4,5
13,12,217,764,66,144,412,15,1,1,1
13,12,218,225,11,18,91,10,1,1,1
13,12,219,426,34,88,191,29,1,1,1
13,12,220,5981,240,2079,2716,957,2,1,1
13,12,221,25343,1019,6901,12009,4065,1,1,1
13,12,222,1545,214,636,1018,215,1,12,4
13,12,223,1512,172,483,753,127,1,2,4
13,13,224,2809,484,706,1228,107,1,3,4
13,13,225,1745,296,540,745,74,1,9,3
13,13,226,647,104,50,261,8,1,1,1
13,13,227,597,108,57,226,0,1,1,1
13,13,228,1727,266,232,770,45,1,1,1
13,13,229,710,120,61,306,0,1,1,1
13,13,230,862,205,139,314,12,1,1,1
13,13,231,453,124,80,68,6,1,1,1
13,13,232,2541,570,237,992,33,1,1,2
13,13,233,639,113,62,247,4,1,1,1
13,13,234,727,145,86,294,11,1,1,1
13,13,235,635,120,116,271,18,1,1,1
13,13,236,1157,312,124,561,16,1,1,1
13,13,237,337,64,38,150,6,1,1,1
13,13,238,562,194,53,249,12,1,1,1
13,14,240,1232,165,398,536,86,1,1,3
13,14,241,1340,284,184,586,22,1,1,1
13,14,242,354,68,48,174,12,1,1,1
13,14,243,702,140,98,298,8,1,1,1
13,14,244,333,66,75,136,24,1,1,1
13,14,245,1432,247,308,685,74,1,1,1
13,14,246,1762,231,591,962,103,1,1,1
13,14,247,856,84,267,365,45,1,1,1
13,14,248,762,105,131,292,27,1,1,1
13,14,249,1457,214,453,589,82,1,1,1
13,14,250,3636,431,920,1751,188,1,1,1
13,14,251,300,51,68,108,24,1,1,1
13,14,252,1538,217,227,682,192,1,1,1
13,14,253,752,128,44,394,46,1,1,1
13,14,254,281,40,37,176,16,1,1,1
13,14,255,1842,208,229,1103,104,1,1,1
13,14,256,1220,153,177,595,86,1,1,1
13,15,257,4907,473,1133,2384,845,1,2,1
13,15,258,3593,492,919,1736,430,1,4,1
13,15,259,1651,297,640,865,278,1,12,3
13,15,260,1033,170,402,545,217,1,21,13
13,15,261,1736,267,479,813,259,1,5,3
