"entidad","municipio","seccion","pobtot","p_60ymas","p18ym_pb","pea","vph_inter","num_zu","num_ss","num_farm"
14,35,500,363,103,22,106,5,1,1,1
14,36,501,5624,564,1082,2874,731,1,3,1
14,36,502,1162,224,307,573,183,1,20,6
14,36,503,1221,222,346,635,208,1,5,1
14,36,504,4481,358,852,2104,408,1,1,1
14,36,505,5332,616,815,2703,504,1,2,1
14,36,506,1990,374,524,1020,270,1,5,2
14,36,507,969,221,314,499,180,1,5,1
14,36,508,1716,209,380,828,224,1,24,7
14,36,509,3829,441,877,1887,545,1,3,5
14,36,510,1936,274,557,902,260,1,4,1
14,36,511,1315,158,82,499,88,1,1,1
14,36,512,2517,240,184,1129,276,1,1,1
14,36,513,723,79,56,288,69,1,1,1
14,36,514,260,27,9,111,29,1,1,1
14,36,518,499,100,33,210,23,1,1,1
14,36,519,497,89,44,216,5,1,1,1
14,36,520,2955,390,267,1361,230,1,8,1
14,36,521,1911,256,182,938,144,1,1,1
14,36,522,674,66,37,356,53,1,1,1
14,36,523,290,39,21,144,5,1,1,1
14,36,524,306,44,22,148,5,1,1,1
14,36,525,2606,375,151,1126,169,1,1,1
14,36,526,2122,290,256,908,265,1,1,1
14,36,527,2673,365,233,1378,132,1,1,1
14,36,528,452,47,24,255,7,1,1,1
14,36,529,508,73,32,233,36,1,1,1
14,37,530,3186,390,957,1528,552,1,12,2
14,37,531,3634,419,1048,1822,551,1,6,1
14,37,532,2035,397,577,919,311,1,9,3
14,37,533,1698,240,422,889,212,1,1,1
14,37,534,741,139,260,395,115,1,6,4
14,37,535,1193,221,382,610,186,1,7,5
14,37,536,2499,304,754,1307,326,1,1,1
14,37,537,960,144,185,451,34,1,1,1
14,37,538,1579,242,339,759,72,1,1,1
14,37,539,2193,302,372,920,167,1,1,1
14,37,540,240,39,6,144,33,1,1,1
14,38,541,4210,431,1111,2194,440,1,4,1
14,38,542,3427,346,698,1667,265,1,1,1
14,38,543,1518,257,392,800,181,1,3,4
14,38,544,2078,269,362,956,172,1,1,1
14,38,545,3692,420,773,1716,374,1,4,3
14,38,546,937,93,133,354,19,1,1,1
14,38,547,273,46,24,144,44,1,1,1
14,38,548,302,48,62,127,25,1,1,1
14,39,549,3940,530,1116,1881,744,1,4,4
14,39,550,2929,409,648,1534,457,1,14,1
14,39,551,1290,273,396,742,262,1,3,1
14,39,552,3242,308,758,1558,458,1,1,1
14,39,553,4350,562,1217,2319,742,1,6,3
14,39,554,958,192,312,514,195,1,14,2
14,39,555,2800,494,941,1515,571,1,9,3
14,39,556,811,168,314,442,174,1,11,4
14,39,557,870,154,251,471,166,1,2,1
14,39,558,2121,322,643,1062,405,1,3,1
14,39,559,2169,240,306,937,172,1,1,1
14,39,560,406,89,44,202,28,1,1,1
14,40,561,1377,245,321,528,199,1,2,1
14,40,562,844,141,210,333,141,1,2,1
14,40,563,660,142,78,202,37,1,1,1
14,40,564,96,22,11,44,6,1,1,1
14,40,565,475,90,39,115,14,1,1,1
14,40,566,134,24,6,44,8,1,1,1
14,40,567,291,71,29,111,3,1,1,1
14,40,569,322,81,25,128,11,1,1,1
14,41,570,621,196,462,459,180,4,17,1
