"entidad","municipio","seccion","pobtot","p_60ymas","p18ym_pb","pea","vph_inter","num_zu","num_ss","num_farm"
15,1,1,2994,340,994,1597,287,1,9,1
15,1,2,2117,255,881,1068,267,1,3,3
15,1,3,3565,362,1536,1846,496,1,26,17
15,1,4,3085,311,251,1735,29,1,1,1
15,1,5,1027,226,153,463,33,1,1,1
15,1,6,965,184,225,376,46,1,1,1
15,1,7,1236,229,178,521,69,1,1,1
15,1,8,963,234,175,418,74,1,1,1
15,1,9,615,119,55,268,24,1,1,1
15,1,10,1916,169,159,844,31,1,1,1
15,1,11,2426,200,169,1265,32,1,1,1
15,1,12,1625,170,150,1124,16,1,1,1
15,1,13,2345,250,207,1225,19,1,1,1
15,1,14,2640,308,461,1688,120,1,1,1
15,1,15,1827,286,179,1065,39,1,1,1
15,1,16,2089,122,252,1108,57,1,1,1
15,1,17,1740,142,284,1019,41,1,1,1
15,1,18,1446,133,286,733,35,1,1,1
15,1,19,2543,251,297,1410,62,1,1,1
15,1,20,3960,431,649,2349,95,1,1,1
15,1,21,2782,260,517,1358,95,1,1,1
15,1,22,2295,195,468,1239,120,1,1,1
15,1,23,1575,162,216,855,37,1,1,1
15,1,24,2440,209,342,1225,56,1,1,1
15,1,25,1678,190,368,830,106,1,1,1
15,1,26,2222,234,485,1233,101,1,1,1
15,1,27,1316,149,370,582,51,1,2,1
15,1,28,3462,419,794,1532,117,1,1,1
15,1,29,1458,149,308,779,71,1,1,1
15,1,30,2323,322,500,1375,142,1,1,1
15,1,31,2558,265,638,1266,142,1,1,1
15,1,32,2057,222,334,1099,131,1,1,1
15,2,33,3121,428,1375,1551,529,1,15,4
15,2,34,2994,434,1277,1519,448,1,11,6
15,2,35,6461,598,1479,3543,498,1,4,6
15,2,36,787,60,225,376,47,1,1,1
15,2,37,2701,308,892,1344,237,1,3,4
15,2,38,3639,430,1263,1672,376,1,4,2
15,2,39,187,20,57,87,13,1,1,1
15,2,40,1397,146,328,709,77,1,1,1
15,2,41,3411,410,1183,1613,317,1,2,2
15,2,42,2700,367,950,1249,331,1,7,4
15,2,43,3427,437,1199,1715,440,1,3,3
15,2,44,9588,620,3719,4793,1552,1,5,4
15,2,45,3518,345,1062,1660,324,1,3,1
15,2,46,4050,464,1229,1873,412,1,6,2
15,2,47,4017,476,1319,2011,435,1,3,3
15,2,48,3608,396,1094,1715,370,1,7,4
15,2,49,5105,587,1630,2544,592,1,5,2
