"entidad","municipio","seccion","pobtot","p_60ymas","p18ym_pb","pea","vph_inter","num_zu","num_ss","num_farm"
18,1,1,738,119,204,375,60,1,1,1
18,1,2,1683,144,427,793,90,1,1,1
18,1,3,3796,321,947,1763,226,1,2,1
18,1,4,879,118,273,427,77,1,1,1
18,1,5,1401,182,401,647,117,1,1,1
18,1,6,568,131,229,241,88,1,3,1
18,1,7,668,140,325,279,130,1,2,1
18,1,8,1125,197,447,543,163,1,1,1
18,1,9,2143,207,933,903,294,1,1,1
18,1,10,1282,213,554,584,221,1,3,1
18,1,11,333,78,184,189,80,1,6,7
18,1,12,763,181,391,354,166,1,4,3
18,1,13,759,168,324,359,138,1,1,1
18,1,14,266,68,147,127,71,1,11,2
18,1,15,516,130,239,254,95,1,4,1
18,1,16,1526,163,654,769,252,1,2,1
18,1,17,1120,142,433,566,144,1,7,3
18,1,18,1360,176,490,599,151,1,6,1
18,1,19,133,36,9,56,1,1,1,1
18,1,20,324,68,40,140,0,1,1,1
18,1,21,476,117,104,200,7,1,1,1
18,1,22,245,36,19,82,0,1,1,1
18,1,23,735,189,201,291,19,1,1,1
18,1,24,1356,205,359,660,97,1,1,1
18,1,25,129,33,16,67,0,1,1,1
18,1,26,369,44,66,203,1,1,1,1
18,1,27,878,67,77,412,0,1,1,1
18,1,28,433,53,64,228,1,1,1,1
18,1,29,200,44,22,79,4,1,1,1
18,1,30,288,60,50,198,39,1,1,1
18,1,31,316,86,65,165,48,1,1,1
18,1,32,401,95,138,241,78,1,1,1
18,1,33,1004,142,254,490,137,1,1,1
18,1,34,511,54,86,215,10,1,1,1
18,1,35,172,33,21,54,1,1,1,1
18,1,36,861,205,171,396,16,1,1,1
18,1,37,337,71,50,128,0,1,1,1
18,1,38,1253,239,296,641,98,1,1,1
18,1,39,1065,242,221,542,45,1,1,1
18,1,40,945,213,224,381,56,1,1,1
18,1,41,425,82,102,235,24,1,1,1
18,1,43,921,240,175,416,9,1,1,1
18,1,44,203,33,30,62,0,1,1,1
18,1,45,240,52,30,90,2,1,1,1
18,1,46,983,196,240,584,99,1,1,1
18,1,47,663,170,134,234,10,1,1,1
18,1,48,423,45,40,148,2,1,1,1
18,2,49,979,127,329,539,112,1,1,1
18,2,50,1244,199,432,676,154,1,5,2
18,2,51,837,170,326,396,131,1,1,1
18,2,52,1715,245,476,826,166,1,1,1
18,2,53,1188,214,414,559,196,1,8,3
18,2,54,1313,302,524,628,207,1,8,4
18,2,55,354,62,125,187,33,1,1,1
18,2,56,704,155,196,350,84,1,1,1
18,2,57,1004,213,234,443,82,1,1,1
18,2,58,656,146,115,285,36,1,1,1
18,2,59,1665,307,448,797,167,1,1,1
18,2,60,779,143,195,360,46,1,1,1
18,2,61,1170,178,260,578,33,1,1,1
18,2,62,309,61,39,147,6,1,1,1
18,2,63,535,65,60,186,69,1,1,1
18,2,64,221,33,18,63,6,1,1,1
18,2,65,739,132,94,327,44,1,1,1
18,3,66,659,96,160,359,77,1,1,1
18,3,67,1056,173,219,484,122,1,2,1
18,3,68,860,200,218,401,103,1,5,5
18,3,69,516,133,174,260,84,1,3,1
18,3,70,241,57,56,137,24,1,1,1
18,3,71,205,47,28,80,21,1,1,1
18,3,72,97,26,9,25,3,1,1,1
18,3,74,533,99,97,236,46,1,1,1
18,3,75,746,154,84,310,41,1,1,1
18,3,76,125,38,13,46,6,1,1,1
18,3,77,605,122,137,296,42,1,1,1
18,3,78,823,151,211,437,76,1,1,1
18,3,79,1075,232,202,517,156,1,1,1
18,3,80,582,121,147,286,83,1,1,1
18,3,81,247,58,61,121,41,1,1,1
18,3,82,649,140,188,274,99,1,2,1
18,3,83,782,148,196,417,118,1,4,1
18,3,84,176,34,34,80,6,1,1,1
18,3,86,472,84,77,175,13,1,1,1
18,3,87,94,27,5,38,7,1,1,1
18,3,88,516,78,71,219,80,1,1,1
18,3,89,456,86,65,229,58,1,1,1
18,4,91,1195,161,361,645,201,1,1,2
18,4,92,994,125,272,538,108,1,4,1
18,4,93,192,46,24,94,26,1,1,1
18,4,94,668,125,76,212,13,1,1,1
18,4,95,637,99,81,336,89,1,1,1
18,4,96,1756,205,566,956,290,1,4,5
18,4,97,1499,245,292,797,169,1,1,1
18,4,98,6043,508,1426,3395,683,1,11,21
18,4,99,1224,136,202,653,223,1,1,1
18,4,100,2053,227,580,1073,314,1,5,1
18,4,101,1921,254,543,984,296,1,4,1
18,4,102,1753,178,388,863,231,1,2,1
18,4,103,1350,202,431,724,221,1,4,1
18,4,104,2764,380,850,1438,409,1,5,5
18,4,105,2095,259,585,1073,317,1,1,1
18,4,106,2470,253,702,1233,328,1,1,2
18,4,107,3160,320,767,1710,352,1,3,1
18,4,108,2080,208,541,1133,274,1,4,1
18,4,109,1791,179,352,970,239,1,3,1
18,4,110,2936,236,626,1720,488,2,4,4
