"entidad","municipio","seccion","pobtot","p_60ymas","p18ym_pb","pea","vph_inter","num_zu","num_ss","num_farm"
19,1,1,1320,121,298,533,150,1,1,1
19,1,2,1663,209,476,602,201,1,1,1
19,2,3,784,160,189,328,127,1,1,1
19,2,4,516,101,108,203,70,1,3,1
19,2,5,605,119,153,264,117,1,1,1
19,2,6,367,119,128,126,94,1,1,1
19,2,7,150,65,5,44,1,1,1,1
19,2,8,285,101,25,81,13,1,1,1
19,2,9,206,81,32,88,12,1,1,1
19,2,10,343,86,44,146,21,1,1,1
19,2,11,157,49,18,56,4,1,1,1
19,3,12,309,81,44,116,32,1,1,1
19,3,13,375,93,65,170,56,1,1,1
19,3,15,164,57,13,67,11,1,1,1
19,3,16,289,71,24,84,10,1,1,1
19,3,17,230,68,35,83,11,1,1,1
19,3,19,37,10,4,14,0,1,1,1
19,4,20,8457,567,1463,4133,1390,1,4,1
19,4,21,2728,396,661,1537,491,1,1,1
19,4,22,1314,237,289,602,263,1,1,1
19,4,23,1271,268,300,555,240,1,1,1
19,4,24,588,161,213,231,168,1,6,1
19,4,25,1914,339,840,1020,505,1,1,1
19,4,26,1647,299,848,820,433,1,5,1
19,4,27,657,183,327,360,184,1,32,12
19,4,28,3080,388,876,1539,623,1,2,1
19,4,29,2928,385,609,1292,557,1,1,1
19,4,30,1777,300,413,811,305,1,1,1
19,4,31,2290,183,591,1064,393,1,1,1
19,4,32,2616,323,508,1295,352,1,1,1
19,4,33,1355,229,253,611,175,1,1,1
19,4,34,613,127,96,258,62,1,1,1
19,4,35,350,62,58,158,42,1,1,1
19,4,36,323,45,55,153,39,1,1,1
19,4,37,707,120,125,294,76,1,1,1
19,4,38,838,121,270,380,159,1,1,1
19,5,39,18,3,2,3,2,1,2,1
19,5,40,432,79,81,210,45,1,7,4
19,5,41,379,48,109,175,60,1,1,1
19,5,42,3125,522,795,1372,464,1,1,1
19,5,43,6540,943,1614,2859,883,1,5,1
19,5,44,367,80,127,189,67,1,1,1
19,5,45,887,138,169,367,110,1,5,2
19,5,46,1350,189,235,578,136,1,4,2
19,5,47,1372,186,230,557,129,1,1,3
19,5,48,1146,101,151,423,68,1,1,1
19,5,49,992,78,118,422,93,1,1,1
19,5,51,367,33,64,174,32,1,1,1
19,5,52,343,32,54,150,24,1,1,1
19,5,55,223,69,11,105,0,1,1,1
19,5,57,82,28,3,55,2,1,1,1
19,5,59,48,19,1,26,0,1,1,1
19,5,61,258,77,20,110,3,1,1,1
19,5,62,100,25,4,48,2,1,1,1
19,6,63,7975,292,3329,2372,872,1,3,1
