"entidad","municipio","seccion","pobtot","p_60ymas","p18ym_pb","pea","vph_inter","num_zu","num_ss","num_farm"
21,1,1,3841,313,789,1665,288,1,4,1
21,1,2,4250,289,771,1770,248,1,3,1
21,1,3,2181,227,626,943,209,1,11,10
21,1,4,4362,415,918,1753,273,1,10,2
21,1,5,3719,295,599,1691,134,1,1,1
21,1,6,4370,272,591,2087,178,1,1,1
21,1,7,5019,322,695,2294,215,1,1,1
21,1,8,3013,129,70,1309,8,1,3,1
21,1,9,7478,390,148,3545,47,1,1,3
21,1,10,3818,364,711,1633,242,1,9,5
21,1,11,3328,345,640,1450,187,1,3,1
21,1,12,2175,191,390,859,167,1,3,1
21,1,13,2523,302,503,1019,211,1,5,3
21,1,14,2986,294,447,1203,157,1,1,2
21,1,16,3347,408,440,1428,221,1,3,2
21,1,17,4064,414,420,1626,164,1,5,2
21,1,18,4218,427,691,1971,204,1,6,3
21,1,19,1416,197,303,701,89,1,1,1
21,2,20,2053,303,411,921,48,1,6,1
21,2,21,1879,262,360,827,37,1,6,3
21,2,22,759,122,121,347,25,1,1,1
21,2,23,671,115,108,277,20,1,1,1
21,2,24,645,121,53,326,4,1,1,1
21,2,25,166,21,15,73,4,1,1,1
21,2,26,1175,181,165,489,24,1,1,1
21,2,27,1308,185,182,704,27,1,1,1
21,3,28,4847,553,1745,2306,470,1,16,10
21,3,29,3926,510,1222,1790,301,1,4,1
21,3,30,1655,289,713,815,221,1,17,6
21,3,31,2922,430,945,1396,262,1,5,2
21,3,32,2292,371,780,1118,172,1,5,1
21,3,33,2117,334,817,973,261,1,13,6
21,3,35,3058,542,609,1188,51,1,2,1
21,3,36,1371,252,208,604,10,1,1,1
21,3,37,2897,411,588,1588,68,1,1,1
21,3,38,1284,334,192,682,9,1,1,1
21,3,39,1870,375,319,1058,83,1,1,1
21,3,40,2757,490,551,1244,77,1,1,1
21,3,41,505,100,81,283,15,1,1,1
21,3,42,214,64,42,81,1,1,1,1
21,3,43,386,76,49,154,0,1,1,1
21,3,44,1608,276,176,647,16,1,1,1
