"entidad","municipio","seccion","pobtot","p_60ymas","p18ym_pb","pea","vph_inter","num_zu","num_ss","num_farm"
22,1,1,1253,199,408,645,150,1,7,2
22,1,2,1098,159,425,620,159,1,21,8
22,1,3,2002,207,540,997,196,1,3,2
22,1,4,2115,252,654,1094,237,1,11,2
22,1,5,2471,255,763,1187,262,1,14,2
22,1,6,1178,155,47,465,36,1,1,1
22,1,7,1316,137,115,526,11,1,1,1
22,1,8,1635,219,103,666,21,1,1,1
22,1,9,2001,199,96,722,44,1,1,1
22,1,10,1510,184,118,690,22,1,1,1
22,1,11,2517,230,472,1307,113,1,1,1
22,1,12,1473,229,123,902,31,1,1,1
22,1,13,1399,256,154,770,14,1,1,1
22,1,14,3997,248,248,1723,36,1,1,1
22,1,15,3507,260,240,1844,21,1,1,1
22,1,16,1565,263,202,819,26,1,1,1
22,1,17,2095,211,275,1003,47,1,1,1
22,1,18,1629,134,122,648,12,1,1,1
22,1,20,879,129,130,435,10,1,1,1
22,1,21,1109,94,121,594,17,1,1,1
22,1,22,2986,304,260,1229,27,1,1,1
22,1,23,1602,152,171,714,26,1,1,1
22,1,24,3099,257,176,1546,27,1,1,1
22,1,25,2210,247,287,1187,51,1,1,1
22,1,26,2155,281,184,1079,20,1,1,1
22,1,27,1788,173,115,989,17,1,1,1
22,1,28,1500,186,233,930,43,1,1,1
22,1,29,1355,139,115,823,23,1,1,1
22,1,30,1442,167,235,734,49,1,1,1
22,1,31,1318,71,68,647,14,1,1,1
22,1,32,1480,135,150,821,38,1,1,1
22,1,33,3082,248,196,1857,40,1,1,1
22,1,34,815,123,131,412,47,1,1,1
22,2,35,2094,324,535,805,276,1,6,3
22,2,36,803,171,82,290,28,1,1,1
22,2,37,265,67,19,75,32,1,1,1
22,2,38,201,41,15,121,9,1,1,1
22,2,39,2736,391,503,1094,200,1,1,1
22,2,40,273,65,13,168,59,1,1,1
22,2,41,1102,221,74,406,187,1,1,1
22,2,42,1146,196,143,388,36,1,1,1
22,2,43,1051,215,95,353,92,1,1,1
22,2,44,412,75,55,138,15,1,1,1
22,2,45,3299,433,665,1351,217,1,1,1
22,3,46,4364,303,919,2145,341,1,1,1
22,3,47,2957,290,767,1498,269,5,9,5
22,3,48,2422,352,1041,1276,466,4,26,13
22,3,49,3136,260,1075,1533,413,1,3,1
22,3,51,1514,115,352,749,123,1,1,1
22,3,52,1825,181,61,806,187,1,1,1
22,3,53,1072,165,72,328,119,1,1,1
22,3,54,1136,123,53,580,31,1,1,1
22,3,55,1508,214,281,786,26,1,1,1
22,3,56,1141,174,92,473,48,1,1,1
22,3,57,915,123,78,502,56,1,1,1
22,3,58,1482,162,94,711,31,1,1,1
22,3,59,876,153,61,275,9,1,1,1
22,3,60,2310,232,308,982,228,1,1,1
22,3,61,3080,327,697,1514,175,1,6,3
22,3,62,949,78,67,528,3,1,1,1
22,3,63,1730,147,187,652,32,1,1,1
22,3,64,1455,133,181,633,35,1,1,1
22,3,65,3268,220,205,1231,38,1,1,1
22,3,66,5298,450,710,2182,92,1,1,1
22,3,67,1156,160,254,526,105,1,1,1
22,3,68,1408,90,46,533,110,1,1,1
22,3,69,3055,318,455,1444,220,1,1,1
22,3,70,3546,458,658,1669,249,1,1,3
22,3,71,2631,346,304,1135,131,1,1,1
22,3,72,3114,248,501,1505,120,1,1,1
22,3,73,2634,328,298,885,372,1,1,1
22,3,74,1496,151,78,690,100,1,1,1
22,3,75,2882,364,259,1493,29,1,1,1
22,4,76,1906,223,527,937,185,1,3,3
22,4,77,2386,213,609,1220,235,1,1,2
22,4,78,1785,215,510,882,213,1,7,1
22,4,79,5468,464,1195,2786,344,1,2,3
22,4,80,559,79,87,349,70,1,1,1
22,4,81,1802,247,188,817,36,1,1,1
22,4,82,1634,179,157,820,72,1,1,1
22,4,83,5018,382,544,2363,61,1,1,1
22,4,84,2340,207,234,1008,26,1,1,1
22,4,85,1663,172,296,775,155,1,1,1
22,4,86,2203,176,320,1056,15,1,1,1
22,4,87,3177,261,573,1470,350,1,4,2
22,4,88,3583,359,641,1744,455,1,1,5
22,4,90,2801,178,229,1228,203,1,1,1
22,4,91,2661,198,199,1250,128,1,1,1
22,4,92,6335,535,1128,3115,646,1,1,1
22,4,94,4397,295,478,1945,186,1,1,1
22,4,95,3707,223,356,1714,220,1,1,1
22,4,96,4379,301,492,2040,216,1,1,1
22,5,97,8666,1019,4674,4260,2267,1,14,5
22,5,98,4866,695,2499,2535,1198,1,10,6
22,5,99,24571,2650,15665,13721,7852,2,8,7
22,5,100,2145,527,1281,1096,586,5,21,6
22,5,101,5515,741,3341,2908,1664,1,13,4
22,5,102,1789,304,825,922,402,1,10,1
22,5,103,6867,712,3169,3630,1606,1,3,5
22,5,104,2099,341,759,1056,367,1,2,2
22,5,105,14608,864,3690,7811,2422,1,7,5
22,5,106,2456,295,733,1418,476,1,1,1
22,5,107,2086,304,694,1110,397,2,3,2
22,5,108,1864,220,585,1133,439,1,9,1
22,5,109,2085,283,556,1216,468,1,1,1
22,5,110,3057,452,1585,1688,799,1,7,2
22,5,111,2613,374,1084,1514,594,1,4,2
22,5,113,10992,2145,8109,6023,3305,1,8,5
22,5,114,12995,1000,6417,7190,3267,1,4,3
22,5,115,14373,1681,7512,8030,3705,1,91,11
22,5,116,6825,548,1614,3428,853,1,1,1
22,5,117,9619,1043,6162,5086,2807,1,1,5
22,5,118,3849,309,404,1818,391,1,1,1
22,5,119,2142,191,522,1044,304,1,1,1
22,5,120,4238,384,438,1947,225,1,1,1
22,5,121,3918,395,575,1752,458,1,1,1
22,6,122,2994,267,614,1477,260,1,8,2
22,6,123,2134,192,528,1036,288,1,7,5
22,6,124,2913,277,798,1400,356,1,1,1
22,6,125,1465,178,373,717,168,1,2,1
22,6,126,2110,101,276,945,192,1,1,1
22,6,127,4695,408,1342,2370,611,1,5,1
22,6,128,5622,551,1251,2868,614,1,12,5
22,6,129,1456,223,350,801,276,1,3,1
22,6,130,2691,239,584,1381,354,1,1,6
22,6,131,3030,178,235,1451,274,1,1,1
22,6,132,2111,169,269,920,63,1,1,1
22,6,133,3804,334,635,1743,241,1,1,1
22,6,134,2277,227,406,1075,125,1,1,3
22,6,135,2162,240,359,1017,167,1,1,1
22,6,136,2290,256,510,1098,192,1,1,2
22,6,137,2171,200,331,1025,159,1,1,1
22,6,138,693,88,71,330,18,1,1,1
22,7,139,3213,326,422,1375,308,1,6,3
22,7,140,1684,216,354,748,240,1,9,3
22,7,141,3002,271,324,1367,124,1,1,1
22,7,142,1473,129,171,633,59,1,1,1
22,7,143,2548,232,208,1010,99,1,1,1
22,7,144,5654,570,1986,2848,1002,1,1,1
22,7,145,2817,245,278,1339,115,1,5,1
22,7,146,1368,148,164,578,46,1,1,1
22,7,147,4277,358,386,1884,374,1,1,2
22,7,148,1952,189,185,872,287,1,1,1
22,7,149,1825,205,186,700,160,1,1,1
22,7,150,2498,227,110,873,227,1,1,1
22,7,151,1414,148,56,572,26,1,1,1
22,7,152,3225,320,269,1252,200,1,1,1
22,8,153,5347,414,1674,2666,552,1,8,2
22,8,154,3233,333,1027,1621,350,1,29,13
22,8,155,5386,386,1492,2501,480,1,3,3
22,8,156,2617,263,854,1292,301,1,8,4
22,8,157,1509,195,124,521,60,1,1,1
22,8,158,1217,329,142,622,60,1,1,1
22,8,159,385,61,36,140,8,1,1,1
22,8,160,669,177,82,307,24,1,1,1
22,8,161,1362,154,214,548,45,1,1,1
22,8,162,618,115,38,197,8,1,1,1
22,8,163,605,172,61,250,13,1,1,1
22,8,164,1118,152,77,493,39,1,1,1
22,8,165,657,93,52,295,10,1,1,1
22,8,166,786,123,154,315,33,1,1,1
22,8,167,2191,262,149,677,38,1,1,1
