"entidad","municipio","seccion","pobtot","p_60ymas","p18ym_pb","pea","vph_inter","num_zu","num_ss","num_farm"
23,1,1,8278,611,2574,4985,1398,1,3,2
23,1,4,2543,226,1179,1485,640,1,3,4
23,1,5,5505,283,2544,3208,1328,1,1,1
23,1,6,1432,85,536,772,303,1,1,1
23,1,7,1816,212,669,1025,368,1,2,1
23,1,8,1081,132,298,566,179,1,1,1
23,1,9,909,119,209,486,113,1,2,1
23,1,10,930,82,246,527,92,1,1,1
23,1,13,3703,231,964,1995,522,1,1,3
23,1,14,7512,410,3222,4072,1581,1,1,3
23,1,15,4352,303,1694,2396,823,1,1,1
23,1,16,13886,773,5691,7766,2892,1,1,1
23,1,18,1513,213,448,857,268,1,1,1
23,1,19,1619,200,546,895,312,1,2,1
23,1,20,1872,162,712,1082,419,1,1,1
23,1,21,1030,167,462,563,260,1,1,1
23,1,22,1113,142,470,660,247,1,1,1
23,1,23,804,109,347,452,176,1,1,1
23,1,24,1461,173,593,852,322,1,1,2
23,1,25,828,92,258,449,151,1,1,1
23,1,26,752,118,224,399,134,1,1,1
23,1,27,1073,159,318,599,171,1,2,2
23,1,28,1165,167,350,651,187,1,1,1
23,1,29,1068,137,327,568,166,1,1,1
23,1,30,825,106,213,442,124,1,1,1
23,1,31,836,94,244,425,138,1,1,1
23,1,32,1199,107,281,710,152,1,3,1
23,1,33,712,76,153,452,79,1,1,1
23,1,34,1171,118,282,663,168,1,1,1
23,1,35,1166,132,276,690,153,1,1,1
23,1,36,1284,174,339,702,227,1,1,1
23,1,37,755,89,162,421,116,1,1,1
23,1,38,1122,143,252,663,165,1,1,1
23,1,39,775,90,164,444,100,1,1,1
23,1,40,1499,127,315,943,212,1,1,1
23,1,41,654,86,174,388,97,1,1,1
23,1,42,796,97,233,431,142,1,2,1
23,1,43,952,131,320,528,177,1,1,2
23,1,44,1406,182,484,818,368,1,2,1
23,1,45,1302,173,594,769,334,1,3,5
23,1,46,1484,171,420,905,283,1,1,1
23,1,47,1752,157,535,953,315,1,1,1
23,1,48,1506,141,494,860,264,1,1,1
