"entidad","municipio","seccion","pobtot","p_60ymas","p18ym_pb","pea","vph_inter","num_zu","num_ss","num_farm"
24,1,1,1953,257,423,1057,218,1,4,3
24,1,2,3131,338,702,1590,258,1,7,6
24,1,3,317,61,9,184,3,1,1,1
24,1,4,493,81,23,212,8,1,1,1
24,1,5,290,52,17,111,3,1,1,1
24,1,6,1538,239,134,595,75,1,1,1
24,1,7,1434,255,169,609,63,1,1,1
24,1,8,1986,356,177,831,38,1,1,1
24,1,9,398,55,41,138,29,1,1,1
24,1,10,186,35,21,90,1,1,1,1
24,1,11,1839,212,99,770,14,1,1,1
24,1,12,830,122,122,277,33,1,1,1
24,1,13,1552,211,269,694,68,1,1,1
24,1,14,3265,330,266,1325,27,1,1,1
24,2,15,344,70,70,131,12,1,1,1
24,2,16,230,46,42,91,5,1,1,1
24,2,17,599,78,87,178,10,1,1,1
24,2,18,136,31,30,48,10,1,1,1
24,2,19,345,97,29,99,5,1,1,1
24,2,20,274,45,17,95,21,1,1,1
24,2,21,259,35,23,76,27,1,1,1
24,2,22,172,49,16,50,11,1,1,1
24,2,23,585,87,76,181,12,1,1,1
24,2,24,334,36,19,212,15,1,1,1
24,2,25,133,25,10,42,1,1,1,1
24,2,26,1295,231,101,435,38,1,1,1
24,2,27,265,50,22,87,9,1,1,1
24,2,28,756,147,102,292,35,1,1,1
24,2,29,241,57,27,87,9,1,1,1
24,2,30,432,101,29,151,6,1,1,1
24,2,31,340,84,35,69,20,1,1,1
24,2,32,520,71,28,337,19,1,1,1
24,2,33,525,55,14,290,1,1,1,1
24,3,34,3393,375,377,1798,134,1,1,1
24,3,35,2185,274,437,1021,73,1,1,2
24,3,36,1387,217,185,640,60,1,1,1
24,3,37,642,87,87,253,33,1,1,1
24,3,38,1243,134,80,438,136,1,1,1
24,3,39,2036,291,249,898,159,1,1,1
24,3,40,294,50,31,115,2,1,1,1
24,3,41,2115,248,238,983,6,1,1,1
24,3,42,1693,132,90,736,5,1,1,1
24,3,43,2502,323,192,1081,15,1,1,1
24,3,44,2430,296,300,965,35,1,1,1
24,3,45,2745,276,349,1207,33,1,1,1
24,3,46,2954,382,275,1387,69,1,1,1
24,3,47,1984,195,66,695,5,1,1,1
24,3,48,1674,197,176,695,13,1,1,1
24,3,49,1869,217,244,716,21,1,1,1
24,3,50,735,110,109,331,5,1,1,1
24,3,51,2405,277,235,1097,11,1,1,1
24,3,52,1914,175,132,1233,36,1,1,1
24,3,53,2843,384,399,1213,50,1,1,1
24,3,54,1726,170,110,687,10,1,1,1
24,3,55,1502,180,118,604,7,1,1,1
24,3,56,1591,191,131,833,6,1,1,1
24,3,57,1891,214,166,1005,17,1,1,1
24,3,58,1061,151,91,533,8,1,1,1
24,3,59,1406,173,604,769,168,1,8,1
24,4,60,237,75,43,85,13,1,1,1
24,4,61,84,24,4,31,1,1,1,1
24,4,63,216,49,3,78,4,1,1,1
24,4,64,916,111,47,277,7,1,1,1
24,4,65,440,59,14,143,8,1,1,1
24,4,68,536,146,53,175,42,1,1,1
24,4,69,269,76,42,90,10,1,1,1
24,4,70,593,128,66,184,10,1,1,1
24,4,71,226,63,27,54,17,1,1,1
24,4,72,188,62,30,62,3,1,1,1
24,4,73,74,22,8,29,1,1,1,1
24,4,77,239,83,15,82,1,1,1,1
24,5,78,1326,159,288,595,66,1,2,1
24,5,79,2829,348,490,1289,148,1,1,1
24,5,80,1482,254,339,701,223,1,2,1
24,5,81,1073,159,215,528,87,1,1,1
24,5,82,448,83,164,230,70,1,4,1
24,5,83,635,143,266,333,135,1,11,10
24,5,84,1073,200,350,569,119,1,7,1
24,5,85,2169,397,565,1042,192,1,1,1
24,5,86,1055,143,358,535,117,1,2,1
24,5,87,510,112,181,234,75,1,1,1
24,5,88,771,148,131,309,41,1,1,1
24,5,89,662,120,187,291,84,1,1,1
24,5,90,1126,179,287,486,98,1,1,1
24,5,91,501,104,47,268,4,1,1,1
24,5,92,246,66,2,113,4,1,1,1
24,5,93,658,180,60,276,13,1,1,1
24,5,94,303,80,27,144,10,1,1,1
24,5,95,652,92,31,317,23,1,1,1
24,5,96,540,69,46,218,28,1,1,1
24,5,97,244,63,36,98,7,1,1,1
24,6,98,1588,151,311,690,91,1,2,2
24,6,99,191,43,12,60,1,1,1,1
24,6,101,505,57,26,165,0,1,1,1
24,6,102,355,77,30,117,1,1,1,1
24,6,103,469,111,45,147,0,1,1,1
24,6,105,359,73,18,144,0,1,1,1
24,6,106,1446,195,284,523,128,1,1,1
24,6,107,227,39,26,87,1,1,1,1
24,6,108,521,74,59,210,28,1,1,1
24,6,109,373,42,24,140,1,1,1,1
24,6,110,319,33,44,66,1,1,1,1
24,6,111,412,73,11,117,1,1,1,1
24,6,112,640,136,103,255,7,1,1,1
24,6,113,309,62,31,117,3,1,1,1
24,6,114,110,11,2,42,0,1,1,1
24,6,115,421,62,34,176,3,1,1,1
24,6,116,439,87,29,140,5,1,1,1
24,6,117,279,69,23,66,5,1,1,1
24,6,118,617,124,37,263,6,1,1,1
24,7,119,3539,364,970,1607,357,1,6,2
24,7,120,2968,313,890,1311,312,1,1,1
24,7,121,2568,345,863,1139,337,1,6,1
24,7,122,3866,337,1239,1813,393,1,1,2
24,7,123,209,41,5,89,1,1,1,1
24,7,124,398,87,22,156,2,1,1,1
24,7,125,517,98,15,173,23,1,1,1
24,7,126,512,92,29,176,37,1,1,1
24,7,127,379,87,12,108,13,1,1,1
24,7,128,454,129,53,227,16,1,1,1
24,7,129,109,33,14,49,3,1,1,1
24,7,130,310,46,23,92,4,1,1,1
24,7,131,2010,128,159,751,196,1,1,1
24,7,132,257,54,27,101,5,1,1,1
24,7,133,450,99,39,180,19,1,1,1
24,7,134,514,73,79,260,35,1,1,1
24,7,135,909,112,57,341,19,1,1,1
24,8,136,1678,216,308,725,138,1,1,1
24,8,137,1350,198,386,630,165,1,7,4
24,8,138,811,154,259,365,123,1,9,5
24,8,139,2059,333,388,974,228,1,1,1
24,8,140,1549,256,416,680,223,1,1,1
24,8,141,2075,347,578,1002,269,1,21,6
24,8,142,1480,220,485,683,243,1,1,1
24,8,143,2118,388,554,1076,280,1,7,3
24,8,144,2306,353,580,1136,251,1,2,1
24,8,145,108,20,10,26,1,1,1,1
24,8,147,522,128,32,185,6,1,1,1
24,8,148,377,72,18,131,5,1,1,1
24,8,149,156,57,3,62,0,1,1,1
24,8,150,233,47,10,64,10,1,1,1
24,8,151,88,8,2,34,1,1,1,1
24,8,152,1243,225,66,406,53,1,1,1
24,8,153,275,52,35,115,10,1,1,1
24,8,154,479,74,61,196,14,1,1,1
24,8,155,407,91,55,144,7,1,1,1
24,8,156,689,193,22,268,10,1,1,1
24,8,157,79,21,1,36,0,1,1,1
24,8,158,283,125,24,120,5,1,1,1
24,8,160,237,62,13,101,4,1,1,1
24,8,161,494,126,45,323,38,1,1,1
24,8,162,152,19,17,62,0,1,1,1
24,8,163,601,98,38,213,10,1,1,1
24,8,164,63,13,4,22,0,1,1,1
24,9,165,300,31,52,137,26,1,1,1
24,9,167,253,55,37,103,4,1,1,1
24,9,169,166,26,15,73,8,1,1,1
24,9,170,177,24,30,80,19,1,1,1
24,9,171,3076,378,875,1378,397,1,1,1
24,9,172,1118,163,511,541,201,1,1,1
24,10,173,2198,249,339,916,76,1,1,1
24,10,174,1142,161,348,475,119,1,7,2
24,10,175,2326,233,614,996,149,1,2,1
24,10,176,3204,418,792,1305,241,1,12,8
24,10,177,1226,153,286,515,64,1,1,1
24,10,178,608,105,139,270,26,1,1,1
24,10,179,1605,238,419,608,103,1,4,1
24,57,180,270,49,4,186,3,1,1,1
24,10,181,416,83,22,223,20,1,1,1
24,10,182,1538,273,136,624,99,1,1,1
24,10,183,367,77,21,154,4,1,1,1
