"entidad","municipio","seccion","pobtot","p_60ymas","p18ym_pb","pea","vph_inter","num_zu","num_ss","num_farm"
25,6,1483,837,93,267,396,148,1,2,1
25,6,1484,2630,209,760,1260,391,1,1,1
25,6,1485,723,83,231,376,123,1,1,1
25,6,1486,855,60,258,433,119,1,1,1
25,6,1487,192,30,24,76,3,1,1,1
25,6,1488,292,44,12,117,48,1,1,1
25,6,1489,183,30,9,68,20,1,1,1
25,6,1490,224,22,8,80,4,1,1,1
25,6,1491,168,22,2,83,0,1,1,1
25,6,1492,291,39,25,124,3,1,1,1
25,6,1493,303,51,46,101,16,1,1,1
25,6,1494,419,44,57,224,38,1,1,1
25,6,1495,433,64,58,194,17,1,1,1
25,6,1496,446,40,71,225,15,1,1,1
25,6,1497,385,51,49,220,6,1,1,1
25,6,1498,522,52,34,245,14,1,1,1
25,6,1499,153,29,9,78,0,1,1,1
25,6,1500,1220,123,241,399,90,1,1,3
25,6,1501,295,47,56,125,24,1,1,1
25,6,1502,542,57,82,280,20,1,1,1
25,6,1503,745,68,122,274,40,1,1,1
25,6,1504,236,24,33,107,7,1,1,1
25,6,1505,320,58,44,161,5,1,1,1
25,6,1506,629,72,96,328,17,1,1,1
25,6,1507,1219,154,298,623,91,1,1,1
25,6,1508,2168,223,456,1040,162,1,1,1
25,6,1509,2553,237,475,1202,211,1,1,1
25,6,1510,960,93,163,531,43,1,1,1
25,6,1511,2604,262,589,1267,244,1,5,2
25,6,1512,6060,221,1538,2948,593,1,1,2
25,6,1513,218,41,16,91,0,1,1,1
25,6,1514,259,44,44,101,1,1,1,1
25,6,1515,124,19,10,52,0,1,1,1
25,6,1516,435,86,38,319,0,1,1,1
25,6,1517,104,26,13,39,0,1,1,1
25,6,1518,233,47,10,116,3,1,1,1
25,6,1519,195,21,14,72,0,1,1,1
25,6,1520,220,46,15,90,2,1,1,1
25,6,1521,2206,127,696,1059,149,1,1,1
25,6,1522,298,37,32,135,6,1,1,1
25,6,1523,134,30,27,63,2,1,1,1
25,6,1524,149,31,17,68,1,1,1,1
25,6,1526,242,34,23,155,0,1,1,1
