"entidad","municipio","seccion","pobtot","p_60ymas","p18ym_pb","pea","vph_inter","num_zu","num_ss","num_farm"
26,1,1,1644,318,369,675,191,1,6,4
26,1,2,919,152,172,357,63,1,1,1
26,2,3,1416,244,326,670,266,1,2,1
26,2,4,643,82,177,320,125,1,5,3
26,2,5,487,126,236,233,152,1,30,5
26,2,6,1744,369,716,896,502,1,12,1
26,2,7,1383,246,611,686,396,2,13,3
26,2,8,3224,455,1504,1561,866,1,7,1
26,2,9,3805,549,1541,1760,944,1,2,1
26,2,10,3712,659,1490,1754,963,1,36,2
26,2,11,1105,151,331,538,265,1,5,3
26,2,12,1035,161,347,519,264,1,4,2
26,2,13,925,174,285,439,232,1,5,2
26,2,14,2810,379,663,1266,539,1,1,1
26,2,15,693,98,144,337,147,1,1,1
26,2,16,401,47,67,182,70,1,1,1
26,2,17,12122,340,2593,5672,2139,1,1,1
26,2,18,2185,278,433,1042,398,1,1,1
26,2,19,3684,287,987,1741,745,1,3,2
26,2,20,5714,385,1630,2775,1186,1,1,1
26,2,21,1490,194,390,692,329,1,1,1
26,2,22,8238,649,2483,3996,1746,1,3,6
26,2,23,9950,661,2458,4707,1785,1,1,1
26,2,24,10563,656,2680,5027,2178,1,2,2
26,2,25,1880,222,348,858,334,1,1,2
26,2,26,7646,487,1258,3271,1173,1,1,1
26,2,27,55,24,6,34,0,1,1,1
26,2,28,150,38,6,51,1,1,1,1
26,2,30,346,99,26,179,4,1,1,1
26,2,31,4216,300,1349,2128,928,1,2,2
26,2,32,307,34,67,144,57,1,1,1
26,3,34,1586,212,365,671,223,1,2,3
26,3,35,2698,369,725,1215,400,1,5,1
26,3,37,419,47,34,194,3,1,1,1
26,4,38,673,151,159,283,180,1,1,1
26,4,39,392,78,54,126,50,1,1,1
26,4,40,112,31,18,55,17,1,1,1
26,5,41,808,152,200,330,71,1,3,2
26,5,42,1047,219,172,429,64,1,1,1
26,5,43,407,104,73,151,2,1,1,1
26,5,44,274,93,28,105,8,1,1,1
26,5,45,256,82,14,123,1,1,1,1
26,6,46,633,147,152,218,35,1,1,1
26,7,47,979,254,148,346,177,1,2,1
26,8,48,510,137,78,192,85,1,2,1
26,8,49,154,37,16,54,0,1,1,1
26,8,51,95,42,4,37,0,1,1,1
26,9,52,1221,213,202,477,119,1,1,1
26,10,54,1124,257,207,387,46,1,1,2
26,10,55,351,85,59,153,9,1,1,1
26,11,56,1023,165,242,445,216,1,1,1
26,11,57,606,99,180,242,109,1,1,2
26,12,58,905,184,231,353,146,1,2,1
26,12,59,909,146,238,366,163,1,1,1
26,12,60,304,64,55,112,5,1,1,1
26,12,61,93,41,14,38,16,1,1,1
26,12,62,250,63,49,77,30,1,1,1
26,12,63,715,181,134,222,107,1,1,1
26,13,64,852,161,101,256,93,1,1,2
26,13,65,317,69,32,98,11,1,1,1
26,14,66,1305,252,324,452,188,1,4,1
26,14,67,1310,174,312,526,178,1,1,1
26,14,68,1356,198,387,556,214,1,2,1
26,14,69,1012,186,235,425,152,1,1,1
26,15,70,1212,216,328,497,249,1,1,1
26,15,71,1548,273,514,694,337,1,15,4
26,15,72,1850,266,482,833,389,1,1,1
26,15,73,3586,399,916,1597,703,1,1,1
26,15,74,2826,372,865,1212,567,2,1,1
26,15,75,11502,756,4218,4993,2610,2,13,7
26,15,76,964,219,445,461,255,1,11,2
26,15,77,926,188,356,430,212,1,5,2
26,15,78,1149,199,371,501,233,1,1,1
26,15,79,841,189,308,349,188,1,1,1
26,15,80,785,213,283,295,185,1,1,1
26,15,81,1194,188,658,529,343,1,1,1
26,15,82,1915,319,832,888,475,1,1,1
26,15,83,5171,378,2151,2171,1247,1,1,1
26,15,84,1907,278,518,810,402,1,1,1
26,15,85,706,119,202,330,145,1,1,1
26,15,86,311,60,49,108,43,1,1,1
26,15,87,352,30,87,166,45,1,1,1
26,15,88,676,81,59,269,22,1,1,1
26,16,89,883,174,121,380,58,1,1,1
26,17,92,419,73,132,208,60,1,1,1
26,17,93,1316,229,489,610,242,1,6,1
26,17,94,1407,222,471,582,233,1,1,1
26,17,95,105,43,14,40,1,1,1,1
26,17,96,1169,201,274,544,48,1,1,1
26,17,97,610,148,169,211,83,1,1,1
26,17,98,329,79,84,180,39,1,1,1
26,17,99,478,156,117,226,27,1,1,1
26,18,100,753,170,140,295,132,1,1,1
26,19,101,1045,219,185,326,75,1,1,1
26,19,102,181,48,18,101,1,1,1,1
26,19,103,3585,249,678,1450,395,1,1,1
26,19,104,1791,184,500,736,296,1,2,2
26,19,105,2453,139,851,887,543,1,1,1
26,20,106,1031,238,245,434,53,1,1,1
26,21,107,846,161,139,359,84,1,1,2
26,21,108,342,65,48,126,47,1,1,1
26,22,109,866,203,231,350,154,1,1,1
26,23,110,1014,248,260,352,230,1,2,1
26,23,111,123,32,38,37,20,1,1,1
26,24,112,2267,215,519,1048,338,1,1,1
26,24,113,3300,422,805,1540,543,1,3,2
26,24,114,989,231,292,448,175,1,6,1
26,24,115,2670,273,518,1142,237,1,1,1
26,24,116,2232,252,527,1055,320,1,2,1
26,24,117,420,67,56,165,29,1,1,1
26,24,121,391,71,86,182,49,1,1,1
26,24,122,372,113,99,159,65,1,1,1
26,25,123,3148,257,803,1434,507,1,1,1
26,25,124,1241,158,339,596,241,1,1,1
26,25,125,1668,257,635,800,372,1,1,1
26,25,126,4090,489,1592,1871,917,1,3,3
26,25,127,1045,221,395,524,232,1,3,2
26,25,128,1876,280,593,920,383,1,2,1
26,25,129,2426,301,699,1161,414,1,5,1
26,25,130,4184,404,1183,1933,753,1,2,1
26,25,131,4553,447,1802,2190,998,1,11,1
26,25,132,2840,307,970,1259,570,1,19,6
26,25,133,2385,276,553,1084,377,1,1,1
26,25,134,325,65,34,185,26,1,1,1
26,25,135,349,55,91,191,38,1,1,1
26,25,136,2430,326,545,1244,211,1,1,1
26,25,137,444,60,102,216,42,1,1,1
26,26,138,2541,377,974,1092,475,1,5,1
26,26,139,1052,178,388,417,190,1,9,3
26,26,140,1448,211,482,643,209,1,2,1
26,26,141,132,29,23,52,15,1,1,1
26,27,142,848,109,261,363,153,1,5,4
26,27,143,594,111,183,244,107,1,2,1
26,27,144,1620,182,430,595,229,1,2,1
26,27,145,2707,222,590,1148,302,1,1,1
26,28,146,1053,253,138,352,82,1,3,1
26,28,147,476,100,25,159,1,1,1,1
26,29,149,1384,114,389,626,306,1,1,1
26,29,150,2359,263,792,1054,485,1,1,1
26,29,151,1920,246,640,965,442,1,7,2
26,29,152,1380,236,422,603,346,1,6,1
26,29,153,1398,169,404,567,300,1,1,1
26,29,154,985,79,255,439,234,1,1,1
26,29,155,850,116,194,329,153,1,1,1
26,29,156,2860,218,772,1163,563,1,1,1
26,29,157,858,31,422,369,236,1,1,1
26,29,158,349,11,95,101,64,1,1,1
26,30,159,1129,166,361,555,246,1,1,1
26,30,160,238,67,101,121,54,1,93,28
26,30,161,706,112,204,366,149,1,5,1
26,30,162,1791,278,491,840,378,1,1,1
26,30,163,2188,277,545,1034,423,1,1,1
