"entidad","municipio","seccion","pobtot","p_60ymas","p18ym_pb","pea","vph_inter","num_zu","num_ss","num_farm"
29,1,1,1954,218,718,1001,254,1,1,2
29,1,2,4861,582,2176,2451,660,1,7,6
29,1,3,4129,533,1612,2019,614,3,2,4
29,1,4,1094,111,325,414,125,1,1,1
29,2,5,3765,462,1663,1932,608,1,1,1
29,2,6,1170,133,568,610,210,1,1,1
29,2,7,411,27,196,210,83,1,1,1
29,2,8,3087,460,1400,1413,477,1,11,7
29,2,9,2787,306,1035,1392,377,1,1,1
29,2,10,4462,528,1734,2149,693,1,3,3
29,2,11,1213,143,480,589,144,1,4,2
29,3,12,1127,237,509,552,207,1,6,2
29,3,13,2824,312,1011,1378,440,1,3,1
29,3,14,7232,618,2793,3665,1005,1,2,3
29,3,15,1936,299,810,955,307,1,1,1
29,3,16,1939,284,774,976,265,2,1,1
29,3,17,1193,330,644,607,253,3,38,3
29,3,18,1016,266,577,560,230,1,19,6
29,3,19,1001,233,425,471,165,1,1,1
29,3,20,1493,218,636,745,223,1,1,1
29,3,21,525,81,279,256,91,1,2,1
29,3,22,1525,336,765,860,270,1,24,4
29,3,23,512,132,286,301,100,4,49,8
29,3,24,724,154,394,375,135,1,18,1
29,3,25,1580,341,752,800,297,1,18,3
29,3,26,1608,278,751,821,279,1,5,1
29,3,27,1722,292,817,918,310,1,3,1
29,3,28,1352,260,627,743,232,1,29,11
29,3,29,1961,339,869,1033,306,1,11,2
29,3,30,8737,720,4003,4444,1484,3,2,1
29,3,31,3654,415,1233,1812,478,1,1,1
29,3,32,2613,401,1277,1363,495,1,42,3
29,3,33,2916,389,1421,1495,539,1,7,1
29,3,34,949,198,480,483,199,1,1,1
29,3,35,1525,237,848,868,317,1,1,1
29,3,36,1872,233,985,941,365,1,7,3
29,3,37,1306,287,640,681,262,1,1,1
29,3,38,1584,139,272,794,96,1,1,1
29,3,39,1504,185,288,602,36,1,1,1
29,3,40,3660,488,999,1635,271,1,3,1
29,3,41,4354,501,1273,1795,428,1,4,1
29,3,42,926,106,250,503,88,1,1,1
29,3,43,5172,543,2119,2720,743,1,4,1
29,3,44,3331,378,985,1517,257,1,2,1
29,3,45,626,55,279,319,100,1,1,1
29,3,46,2822,259,908,1320,341,1,1,1
29,3,47,3454,315,1084,1700,384,1,1,1
29,3,48,579,115,300,265,121,1,1,1
29,4,49,1000,144,273,511,40,1,2,1
29,4,50,447,49,55,157,13,1,1,1
29,4,51,538,46,77,276,7,1,1,1
29,4,52,171,17,19,61,11,1,1,1
29,4,53,1601,189,263,598,33,1,1,1
29,4,54,642,74,121,286,20,1,1,1
29,4,55,365,40,68,182,34,1,1,1
29,4,56,1734,179,308,819,127,1,1,1
29,4,57,593,72,72,275,6,1,1,1
29,34,58,291,21,41,110,5,1,1,1
29,5,59,1345,197,330,663,44,1,1,2
29,5,60,1156,128,199,584,9,1,1,1
29,5,61,593,77,63,328,3,1,1,1
29,5,62,445,47,37,239,1,1,1,1
29,5,63,510,57,75,234,4,1,1,1
29,5,64,309,50,25,138,2,1,1,1
29,5,65,307,57,66,108,4,1,1,1
29,5,66,683,108,113,390,0,1,1,1
29,5,67,274,47,30,135,7,1,1,1
29,5,68,2995,306,629,1554,41,1,1,1
29,5,69,1177,144,162,498,12,1,1,1
29,5,70,770,116,134,302,7,1,1,1
29,5,71,1384,137,154,815,29,1,1,1
29,5,72,1102,111,131,584,2,1,1,1
29,5,73,437,36,65,162,7,1,1,1
29,5,74,1649,170,222,967,69,1,1,1
29,5,75,680,63,67,407,1,1,1,1
29,5,76,173,22,17,59,1,1,1,1
29,5,77,2022,240,610,1046,88,1,6,3
29,6,78,6990,544,1557,3382,588,1,3,1
29,6,79,2792,326,812,1349,314,1,13,6
29,6,80,1681,276,575,870,222,1,17,6
29,6,81,2673,337,722,1399,314,1,1,1
29,6,82,3561,240,1233,1580,449,1,4,1
29,6,83,3241,426,960,1646,317,1,9,6
29,6,84,926,170,320,487,110,1,4,1
29,6,85,2645,275,571,1274,183,1,6,3
29,6,86,2787,270,498,1234,155,1,2,1
29,6,87,1301,166,317,608,118,1,1,1
29,6,88,1536,228,485,816,148,1,4,1
29,6,89,2907,303,925,1403,345,1,2,1
29,6,90,5000,330,1347,2339,469,1,7,2
29,6,91,1142,129,260,583,40,1,1,1
29,6,92,3124,315,574,1611,274,1,3,3
29,6,93,1979,180,350,774,152,1,1,1
29,6,94,1258,184,357,594,112,1,1,1
29,6,95,664,72,84,294,22,1,1,1
29,6,96,1053,108,107,503,14,1,1,1
29,6,97,1416,128,173,642,43,1,1,1
29,6,98,2515,265,350,1167,118,1,1,1
29,7,100,4744,390,805,1901,130,1,6,3
29,7,101,2896,335,694,1299,197,1,1,4
29,7,102,2721,305,662,1164,202,1,7,9
29,7,103,1745,159,225,695,67,1,1,1
29,7,104,4022,284,658,1702,115,1,1,1
29,7,105,687,67,84,278,1,1,1,1
29,7,106,354,30,35,140,0,1,1,1
29,8,107,4137,413,1002,1865,229,1,5,4
29,8,108,2429,230,455,1186,98,1,1,3
29,8,109,3541,310,662,1565,137,1,2,1
29,8,110,2237,242,265,1100,35,1,1,1
29,8,111,358,30,53,159,0,1,1,1
29,8,112,258,28,32,110,2,1,1,1
29,8,113,523,61,107,187,10,1,1,1
29,8,114,1437,121,177,692,5,1,1,1
29,8,115,752,51,106,254,2,1,1,1
29,8,116,698,51,57,228,1,1,1,1
29,9,117,1812,229,571,863,145,1,1,2
29,9,118,1402,183,438,794,51,1,1,1
29,9,119,798,85,210,337,25,1,1,1
29,9,120,383,37,82,148,7,1,1,1
29,9,121,1613,181,399,631,51,1,1,1
29,10,122,2043,316,807,1029,262,1,3,2
29,10,123,2314,354,1121,1207,399,1,5,2
29,10,124,2506,307,882,1228,297,1,1,3
29,10,125,2532,317,791,1239,303,1,5,2
29,10,126,3586,394,1100,1801,299,1,2,1
29,10,127,3480,444,1246,1774,429,1,4,4
29,10,128,1490,175,507,774,200,1,1,1
29,10,129,1243,245,592,681,232,1,8,2
29,10,130,614,135,345,349,128,2,10,11
29,10,131,1270,237,625,688,196,1,5,1
29,10,132,1409,268,602,724,206,1,6,1
29,10,133,1195,216,618,625,209,1,23,6
29,10,134,1084,122,495,601,193,1,2,1
29,10,135,1585,139,783,823,306,1,1,2
29,10,136,510,87,312,291,127,1,6,1
29,10,137,2992,347,1252,1539,428,1,3,4
29,10,138,1239,240,586,705,181,1,19,3
29,10,139,2990,438,1232,1638,407,1,17,10
29,10,140,2860,279,933,1513,356,1,2,1
29,10,141,5670,570,1689,2821,497,1,6,8
29,10,142,3256,299,969,1660,261,1,5,2
29,10,143,2090,294,844,1100,261,1,15,11
29,10,144,5749,483,2203,2607,768,1,2,2
29,10,145,2946,247,758,1509,171,1,1,1
29,10,146,2287,256,605,1180,150,1,1,1
29,10,147,2244,224,637,1081,143,1,1,1
29,10,148,3071,315,799,1501,187,1,3,2
29,10,149,4388,499,1220,2390,301,1,4,4
29,10,150,1195,37,69,158,20,1,3,1
29,52,151,7320,66,285,405,100,1,2,4
29,52,152,4146,22,76,172,27,1,1,1
29,52,153,2192,26,120,195,28,1,2,1
29,52,154,2364,25,97,130,37,1,3,1
29,52,155,2835,40,119,225,40,1,4,1
29,10,156,2733,249,649,1178,147,1,1,2
29,10,157,1580,177,401,718,93,1,1,1
29,51,158,4447,509,1370,2182,387,1,9,4
29,51,159,3484,377,824,1574,277,1,4,1
29,51,160,4063,471,1197,1802,339,1,4,4
29,11,161,2507,302,623,932,368,1,3,3
29,11,162,1365,173,276,466,197,1,1,1
29,11,163,643,71,152,211,58,1,1,1
29,11,164,656,78,134,231,46,1,1,1
29,12,165,3177,340,568,1245,116,1,5,3
29,12,167,323,72,43,152,3,1,1,1
29,12,168,1079,118,177,439,31,1,1,1
29,12,169,324,44,41,99,48,1,1,1
29,12,170,975,149,119,368,22,1,1,1
29,12,171,461,48,54,180,2,1,1,1
29,12,172,433,47,82,218,14,1,1,1
29,12,173,486,83,64,159,6,1,1,1
29,12,174,340,35,43,134,5,1,1,1
29,12,175,751,87,165,335,38,1,1,1
