"entidad","municipio","seccion","pobtot","p_60ymas","p18ym_pb","pea","vph_inter","num_zu","num_ss","num_farm"
2,1,1,3271,612,2421,1837,1134,1,1,1
2,1,2,1533,379,1174,789,524,1,1,1
2,1,3,1812,215,505,999,304,2,1,1
2,1,4,1848,243,459,971,301,1,1,1
2,1,5,464,82,233,260,122,1,1,1
2,1,6,2259,262,742,1224,422,1,1,1
2,1,7,678,94,183,306,133,1,1,1
2,1,8,1757,229,681,965,351,1,1,1
2,1,9,1079,215,420,623,238,1,1,1
2,1,10,1109,232,576,572,302,1,1,1
2,1,11,2799,415,1494,1526,766,1,1,2
2,1,12,7245,601,3021,3782,1716,1,1,2
2,1,14,24013,1615,5781,12456,3733,1,3,5
2,1,15,1648,233,574,936,416,1,2,1
2,1,16,1661,258,585,884,374,1,1,2
2,1,17,3554,485,1359,1903,789,1,3,2
2,1,18,2371,489,1343,1193,644,1,1,1
2,1,19,1376,344,695,662,385,1,1,1
2,1,20,1845,305,1222,1044,610,1,1,1
2,1,21,868,170,465,445,257,1,1,1
2,1,22,848,225,517,439,272,1,4,1
2,1,23,1570,404,1075,820,518,1,1,1
2,1,24,1309,271,610,660,339,1,3,1
2,1,25,1032,235,701,577,381,1,14,4
2,1,26,993,259,687,587,352,3,5,1
2,1,27,1342,342,747,646,376,1,3,2
2,1,28,668,68,344,360,191,1,2,1
2,1,29,1084,206,619,558,308,1,4,3
2,1,30,1447,240,642,756,378,1,1,1
2,1,31,914,127,331,457,192,1,1,1
2,1,32,2122,351,659,1003,462,1,1,1
2,1,33,2206,355,677,1099,452,1,1,1
2,1,34,1583,201,495,819,352,1,1,1
2,1,35,3230,223,1000,1662,635,1,1,1
2,1,36,3944,286,1169,1536,521,1,1,1
2,1,37,4072,327,1363,2174,808,1,2,1
2,1,38,2277,288,631,1149,438,1,1,1
2,1,39,1890,312,657,1029,399,1,1,1
2,1,40,1816,282,593,1034,448,1,1,1
2,1,41,1264,232,573,675,312,1,4,1
2,1,42,1227,219,575,618,337,1,1,1
2,1,43,892,255,554,440,276,1,2,1
2,1,44,816,201,509,442,278,1,1,1
2,1,45,690,149,278,360,162,1,2,1
2,1,46,619,209,402,311,224,1,37,4
2,1,47,681,195,435,371,248,1,114,11
