"entidad","municipio","seccion","pobtot","p_60ymas","p18ym_pb","pea","vph_inter","num_zu","num_ss","num_farm"
31,1,1,2041,304,453,942,181,1,1,1
31,1,2,220,28,16,84,1,1,1,1
31,1,3,241,44,41,111,14,1,1,1
31,1,4,950,141,168,385,85,1,1,1
31,1,5,2608,234,96,1075,58,1,1,1
31,1,6,490,87,50,212,6,1,1,1
31,2,7,3048,266,831,1555,312,1,6,2
31,2,8,2792,301,700,1398,241,1,1,1
31,2,9,4056,435,948,2017,192,1,5,3
31,2,10,3179,326,588,1595,319,1,1,1
31,2,11,984,121,232,597,56,1,1,1
31,2,12,1856,201,319,877,143,1,1,1
31,2,13,857,119,130,485,104,1,1,1
31,3,14,2144,247,418,1084,193,1,4,3
31,3,15,2641,193,330,1388,155,1,1,1
31,3,16,2339,246,462,1146,218,1,8,2
31,3,17,3073,262,451,1550,267,1,2,2
31,3,18,2088,176,222,1036,128,1,1,1
31,4,20,1901,310,489,884,169,1,2,2
31,4,21,1413,217,377,739,141,1,1,1
31,4,22,1038,149,273,524,91,1,2,1
31,4,23,887,163,254,416,101,1,2,1
31,4,24,940,109,198,457,74,1,1,1
31,5,25,1022,171,158,436,45,1,2,1
31,5,26,1145,164,206,543,156,1,1,1
31,6,27,2255,343,396,1003,235,1,5,1
31,6,28,2610,366,408,1211,203,1,2,1
31,6,29,1847,252,291,924,111,1,1,1
31,6,30,1281,219,278,571,112,1,4,2
31,6,31,496,104,69,195,35,1,1,1
31,6,32,674,59,44,331,13,1,1,1
31,7,33,1276,156,233,556,87,1,1,1
31,7,34,2336,275,521,1112,180,1,1,1
31,7,35,1726,228,315,747,113,1,1,1
31,7,36,2146,261,372,951,133,1,4,1
31,8,37,1383,239,190,503,116,1,1,1
31,8,38,1220,237,162,484,170,1,1,1
31,8,39,447,71,54,195,13,1,1,1
31,8,40,1001,160,123,419,49,1,1,1
31,9,41,1043,184,295,451,102,1,2,1
31,9,42,947,177,262,399,83,1,2,1
31,9,43,943,191,241,444,81,1,2,1
