"entidad","municipio","seccion","pobtot","p_60ymas","p18ym_pb","pea","vph_inter","num_zu","num_ss","num_farm"
32,1,1,534,85,120,222,63,1,1,1
32,1,2,641,98,108,284,59,1,2,1
32,1,3,1045,183,169,388,94,1,1,1
32,1,4,481,82,145,199,77,1,1,1
32,1,5,376,71,26,125,19,1,1,1
32,1,6,723,131,101,311,59,1,1,1
32,1,7,241,78,19,106,6,1,1,1
32,1,8,842,137,93,337,39,1,1,1
32,1,9,234,75,26,112,26,1,1,1
32,1,10,476,67,75,202,43,1,1,1
32,1,13,664,91,74,207,42,1,1,1
32,2,14,722,109,121,267,87,1,1,1
32,2,15,993,136,178,349,139,1,1,1
32,2,16,129,40,15,50,28,1,1,1
32,2,17,1468,185,176,488,207,1,1,1
32,2,18,646,108,69,225,78,1,1,1
32,2,19,357,77,21,134,46,1,1,1
32,2,20,540,99,41,191,39,1,1,1
32,2,21,90,24,15,40,15,1,1,1
32,3,22,920,181,202,302,135,1,3,1
32,3,23,297,72,76,93,52,1,1,2
32,3,24,421,79,70,114,53,1,1,1
32,3,26,261,78,27,122,31,1,1,1
32,3,27,151,46,15,65,17,1,1,1
32,3,28,95,37,8,42,7,1,1,1
32,3,29,61,21,3,23,3,1,1,1
32,3,30,71,30,4,7,3,1,1,1
32,4,31,456,104,78,177,26,1,1,1
32,4,32,725,93,94,251,46,1,1,1
32,4,33,559,64,102,211,48,1,1,1
32,4,34,639,95,143,224,65,1,7,4
32,4,35,715,105,136,246,59,1,3,1
32,4,36,456,79,88,149,35,1,1,1
32,4,37,277,48,20,82,3,1,1,1
32,4,38,459,80,45,116,37,1,1,1
32,4,39,212,29,15,53,1,1,1,1
32,5,40,5992,316,1483,2588,893,1,9,5
32,5,41,2837,208,848,1202,409,1,3,2
32,5,42,812,103,160,365,87,1,1,1
32,5,43,1085,120,151,557,84,1,1,1
32,5,44,2145,155,239,1119,174,1,1,1
32,5,45,1345,115,353,584,185,1,2,1
32,5,46,836,132,250,381,115,1,1,1
32,5,47,889,177,351,413,156,1,16,6
32,5,48,7258,458,1662,3204,912,1,3,1
32,5,49,650,133,240,339,108,1,11,1
32,5,50,1187,167,433,604,179,3,10,3
32,5,51,890,157,303,468,160,1,8,4
32,5,52,702,134,167,318,89,1,1,1
32,5,53,3038,279,761,1428,415,1,1,1
32,5,54,6529,321,1247,2820,666,1,1,1
32,5,55,2371,238,518,1003,256,1,4,1
32,5,56,2582,208,247,1074,172,1,1,1
32,5,57,2222,199,207,891,197,1,1,1
32,5,58,1708,123,132,676,107,1,1,1
32,5,59,562,104,58,240,75,1,1,1
32,5,60,120,32,11,57,16,1,1,1
32,6,61,1319,149,253,519,67,1,1,1
32,6,62,739,134,184,316,62,1,1,1
32,6,63,814,124,160,331,40,1,2,1
32,6,64,1398,147,215,562,43,1,1,1
32,6,65,429,106,163,175,56,1,3,5
32,6,66,1051,160,239,444,55,1,2,1
32,6,67,646,71,101,286,20,1,1,1
32,6,68,264,58,25,124,0,1,1,1
32,6,69,922,193,168,408,170,1,1,1
32,6,70,571,94,67,156,43,1,1,1
32,6,71,102,26,13,46,0,1,1,1
32,7,73,933,117,254,402,130,1,1,1
32,7,74,695,76,201,287,95,1,1,1
32,7,75,479,98,179,228,87,1,2,1
32,7,76,1755,212,451,739,236,1,6,1
32,7,77,910,141,336,416,151,1,3,1
32,7,78,751,129,231,314,102,1,1,1
32,7,79,1347,196,325,513,175,1,1,1
32,7,80,977,159,251,408,149,1,3,2
32,7,82,522,85,65,209,28,1,1,1
32,7,83,384,104,12,146,6,1,1,1
32,7,84,1070,109,330,437,145,1,1,1
32,7,85,4,4,0,3,0,1,1,1
32,7,86,199,41,27,55,10,1,1,1
32,7,87,173,49,11,87,2,1,1,1
32,7,89,81,26,4,30,0,1,1,1
32,7,91,238,64,6,75,1,1,1,1
32,7,92,296,48,9,113,1,1,1,1
32,7,93,112,39,1,35,0,1,1,1
32,7,94,293,48,38,122,20,1,1,1
32,7,95,165,25,12,87,8,1,1,1
32,7,96,326,67,9,160,0,1,1,1
32,7,98,141,34,6,45,2,1,1,1
32,7,99,365,46,20,97,7,1,1,1
32,8,103,1315,179,243,497,99,1,3,1
32,8,104,1502,190,395,618,124,1,5,1
32,8,105,2047,219,369,800,123,1,1,2
32,8,106,1194,138,270,452,82,1,1,1
32,8,107,1143,161,245,381,89,1,1,1
32,8,108,2307,162,241,794,119,1,1,1
32,8,109,463,69,66,142,20,1,1,1
32,8,110,573,97,49,199,28,1,1,1
32,8,111,477,89,32,151,18,1,1,1
32,8,112,1922,177,131,700,51,1,1,1
32,8,113,0,0,0,0,0,1,1,1
32,9,114,642,96,158,239,79,1,1,1
32,9,115,902,71,270,328,114,1,1,1
32,9,116,744,107,153,248,77,1,1,1
32,9,117,393,96,150,163,59,1,5,4
32,9,118,436,67,139,183,54,1,5,1
32,9,119,821,97,197,280,95,1,2,1
32,9,120,376,77,56,116,28,1,1,1
32,9,121,301,54,39,78,13,1,1,1
32,9,122,386,94,67,119,26,1,1,1
32,9,123,552,113,61,209,11,1,1,1
32,9,124,583,102,53,129,14,1,1,1
32,9,125,582,98,78,116,8,1,1,1
32,9,126,160,40,21,58,3,1,1,1
32,9,127,511,100,62,171,14,1,1,1
32,9,128,630,128,66,224,16,1,1,1
32,9,129,339,78,74,115,20,1,1,1
32,9,130,478,93,83,143,27,1,1,1
32,9,131,182,21,37,57,18,1,1,1
32,9,132,440,90,76,117,28,1,1,1
32,9,133,291,72,43,94,18,1,1,1
32,9,134,337,61,62,135,18,1,1,1
32,10,135,5439,314,876,2454,688,1,1,1
32,10,136,4855,323,766,2100,585,1,1,1
32,10,137,6608,360,1209,2918,889,1,1,1
32,10,138,858,82,158,379,92,1,1,1
32,10,139,5161,278,1370,2358,902,1,1,1
32,10,140,10506,400,3182,4923,2019,1,7,1
32,10,141,1464,121,370,714,237,1,1,1
32,10,142,1214,130,429,545,232,1,1,1
32,10,143,928,96,208,434,135,1,1,1
32,10,144,1180,193,190,525,171,1,1,1
32,10,145,792,76,160,376,113,1,3,1
32,10,146,1348,157,388,599,230,1,2,1
32,10,147,1101,153,347,512,197,1,1,1
32,10,148,4499,270,1013,1976,659,1,1,1
32,10,149,1503,238,809,778,355,1,27,1
32,10,150,982,258,453,440,259,1,1,1
32,10,151,1136,222,417,555,247,1,1,1
32,10,152,920,174,401,472,221,1,4,1
32,10,153,543,81,251,274,138,1,1,1
32,10,154,2075,219,690,970,402,1,6,4
32,10,155,4654,319,704,2149,552,1,1,1
32,10,156,3335,217,973,1643,586,1,1,1
32,10,157,2921,269,1196,1457,589,1,5,1
32,10,158,455,93,230,245,112,1,1,1
32,10,159,648,138,219,305,132,1,1,1
32,10,160,395,122,157,162,92,1,1,1
32,10,161,574,114,269,238,140,1,7,2
32,10,162,851,161,343,363,181,1,3,1
32,10,163,5408,420,1794,2533,974,2,3,2
32,10,164,1455,181,568,743,300,1,1,1
32,10,165,659,127,304,330,160,1,7,1
32,10,166,745,156,345,364,179,2,6,1
32,10,167,713,138,268,392,162,1,2,1
32,10,168,636,124,302,324,149,1,3,1
32,10,169,783,138,270,409,145,1,3,1
32,10,170,1002,134,301,513,187,1,1,1
32,10,171,1393,154,338,598,249,1,1,1
32,10,172,743,50,177,330,118,1,1,1
32,10,173,1048,110,211,493,177,1,1,1
32,10,174,821,79,252,418,171,1,1,1
32,10,175,605,136,244,306,155,1,21,1
32,10,176,616,144,303,299,143,1,17,2
32,10,177,826,165,357,389,185,1,6,1
32,10,178,513,116,249,269,141,1,11,1
32,10,179,524,121,275,264,138,1,1,1
32,10,180,1093,164,296,546,171,1,1,1
32,10,181,872,167,324,430,174,1,1,1
32,10,182,694,169,340,344,167,1,16,1
32,10,183,446,109,235,231,118,1,24,8
32,10,184,352,61,211,181,95,1,47,4
32,10,185,403,92,188,199,101,1,5,1
32,10,186,840,94,204,409,143,1,1,1
32,10,187,609,70,158,296,108,1,3,1
32,10,188,456,89,232,243,112,1,4,1
32,10,189,1058,177,357,537,200,1,7,1
32,10,190,2747,237,517,1461,429,1,1,1
32,10,191,885,140,209,431,158,1,1,1
32,10,192,840,132,206,416,143,1,1,1
32,10,193,2004,202,819,994,418,1,1,1
32,10,194,13996,529,3872,6207,2367,1,2,1
32,10,195,1298,166,392,645,214,1,1,1
32,10,196,1445,166,638,757,292,1,2,1
32,10,197,917,110,376,509,190,1,1,1
32,10,198,570,123,240,305,114,1,1,1
32,10,199,515,96,239,253,126,1,1,1
32,10,200,727,148,405,326,177,1,1,1
32,10,201,450,98,234,222,106,1,11,1
32,10,202,453,83,288,218,121,1,1,1
32,10,203,666,167,339,353,168,1,18,1
32,10,204,791,159,312,403,169,1,1,1
32,10,205,629,148,329,338,152,1,13,1
32,10,206,727,168,353,379,161,1,19,3
32,10,207,816,152,346,411,164,1,1,1
32,10,208,726,127,277,373,128,1,3,1
32,10,209,795,146,308,385,134,1,2,1
32,10,210,5928,465,2368,2968,1261,1,6,2
32,10,211,1001,217,523,429,256,1,1,1
32,10,212,4056,336,1144,1625,667,1,1,2
32,10,213,5677,359,1264,2457,837,1,2,1
32,10,214,977,86,217,376,149,1,1,1
32,10,215,642,82,159,312,87,1,2,1
32,10,216,904,189,310,397,194,1,1,1
32,10,217,534,67,111,220,83,1,1,1
32,10,218,664,108,75,196,59,1,1,1
32,10,219,368,75,31,137,38,1,1,1
32,10,220,652,73,66,236,42,1,1,1
32,10,221,522,67,64,199,15,1,1,1
32,10,222,290,43,23,126,15,1,1,1
32,10,223,214,36,17,79,9,1,1,1
32,10,224,368,59,53,139,30,1,1,1
32,10,225,806,125,103,255,26,1,1,1
32,10,226,441,39,36,161,4,1,1,1
32,10,227,498,86,62,188,8,1,1,1
32,10,228,2301,253,353,962,183,1,5,1
32,10,229,2065,258,337,801,148,1,1,2
32,10,230,1169,146,104,501,53,1,1,1
32,10,231,1190,132,103,495,73,1,1,1
32,10,232,1602,137,158,609,65,1,1,1
32,10,233,910,140,73,338,92,1,1,1
32,10,234,606,60,45,164,40,1,1,1
32,10,235,794,115,83,236,49,1,1,1
32,10,236,405,46,17,115,11,1,1,1
32,10,237,694,114,47,218,25,1,1,1
32,10,238,235,61,16,74,21,1,1,1
32,10,239,837,150,92,381,69,1,1,1
32,10,240,1332,181,109,523,72,1,1,1
32,10,241,361,32,43,154,18,1,1,1
32,10,242,483,48,49,166,36,1,1,1
32,10,243,962,93,73,365,44,1,1,1
32,10,244,593,62,61,244,34,1,1,1
32,10,245,716,117,90,245,28,1,1,1
32,10,246,1256,190,223,450,61,1,1,1
32,10,247,311,38,19,112,11,1,1,1
32,10,248,505,74,35,209,22,1,1,1
32,10,249,2213,160,190,878,151,1,1,2
32,10,250,1845,163,153,742,152,1,1,2
32,10,251,1039,127,82,404,36,1,1,1
32,10,252,1285,145,124,581,138,1,1,1
32,10,253,773,90,72,306,42,1,1,1
32,10,254,311,30,21,118,23,1,1,1
32,10,255,160,16,2,68,20,1,1,1
32,10,256,772,98,26,293,87,1,1,1
32,10,257,454,82,49,145,31,1,1,1
32,10,258,240,48,20,74,7,1,1,1
32,10,259,368,46,20,144,21,1,1,1
32,10,260,856,93,42,310,46,1,1,1
32,10,261,519,74,36,199,25,1,1,1
32,10,262,167,18,12,55,2,1,1,1
32,10,263,340,56,25,123,29,1,1,1
32,10,264,822,92,82,290,68,1,1,1
32,10,265,1786,184,274,705,212,1,2,4
32,10,266,1197,181,156,495,154,1,3,1
32,10,267,2921,229,382,1220,335,1,2,2
32,10,268,1382,135,114,502,91,1,1,1
32,10,269,613,57,19,211,25,1,1,1
32,10,270,1416,193,241,835,153,1,1,1
