"entidad","municipio","seccion","pobtot","p_60ymas","p18ym_pb","pea","vph_inter","num_zu","num_ss","num_farm"
3,1,1,936,152,453,486,236,1,2,1
3,1,2,746,119,273,411,116,1,1,1
3,1,3,2408,220,1221,1348,540,1,2,1
3,1,4,611,144,299,383,173,4,9,1
3,1,5,1021,140,454,562,285,1,1,1
3,1,6,946,63,416,507,197,1,1,1
3,1,7,1545,130,755,733,348,1,1,1
3,1,8,436,93,167,240,118,1,5,2
3,1,9,405,114,197,244,102,2,6,1
3,1,10,804,186,373,422,194,2,4,2
3,1,11,493,101,179,248,122,1,1,1
3,1,12,332,74,170,190,81,1,7,1
3,1,13,1420,153,647,738,332,1,5,1
3,1,14,2328,221,701,1054,280,1,11,1
3,1,15,637,130,268,300,135,1,2,2
3,1,16,1222,108,596,666,288,1,1,1
3,1,17,568,78,277,301,130,1,1,1
3,1,18,1662,232,708,800,336,1,2,1
3,1,19,1152,148,308,545,157,1,1,1
3,1,20,1552,180,426,795,213,1,1,1
3,1,21,1313,193,422,657,233,1,2,1
3,1,22,3345,303,1119,1599,548,1,1,1
3,1,23,981,174,391,427,201,1,1,1
3,1,24,1033,112,376,488,171,1,3,1
3,1,25,1047,189,321,480,172,1,2,1
3,1,26,1152,208,376,543,215,1,1,1
3,1,27,1330,161,466,599,228,1,1,1
3,1,28,4917,394,1276,2247,527,1,1,1
3,1,29,2457,247,699,1180,328,1,1,1
3,1,30,2465,283,649,1220,335,1,1,3
3,1,31,1215,189,381,559,203,1,1,1
3,1,32,1536,189,580,767,283,1,1,1
3,1,33,374,58,90,169,35,1,1,1
3,1,34,929,164,171,465,57,1,1,1
3,1,35,213,34,59,85,1,1,1,1
3,1,36,287,64,17,170,0,1,1,1
3,1,37,297,68,53,130,1,1,1,1
3,1,38,463,73,60,205,11,1,1,1
3,1,39,142,41,11,72,0,1,1,1
3,1,40,907,162,226,411,93,1,1,1
3,1,41,1280,182,315,586,145,1,2,1
3,1,42,1674,156,309,753,136,1,1,1
3,1,43,1038,127,243,519,107,1,1,1
3,1,44,934,172,368,467,158,1,2,1
3,1,45,1027,114,328,484,130,1,1,1
3,1,46,929,132,275,459,103,1,1,1
3,1,47,1640,118,446,801,160,1,1,1
3,1,48,1551,247,336,874,53,1,1,1
3,1,49,91,29,5,73,0,1,1,1
3,1,50,189,34,35,72,9,1,1,1
3,1,51,326,71,68,162,13,1,1,1
3,1,52,545,79,99,253,14,1,1,1
3,1,53,277,79,64,91,3,1,1,1
3,1,54,1351,202,316,705,93,1,1,1
3,1,55,429,89,84,189,5,1,1,1
3,1,56,840,95,249,404,90,1,1,1
3,1,57,820,135,214,396,99,1,1,1
3,1,58,567,106,196,257,79,1,1,1
3,1,59,1679,207,410,818,136,1,2,2
3,1,60,1370,191,343,649,188,1,1,1
3,1,61,2907,217,672,1314,245,1,1,1
3,1,62,55,6,8,34,1,1,1,1
3,1,63,27,13,1,22,0,1,1,1
3,1,66,96,30,10,41,2,1,1,1
3,1,67,604,149,122,327,4,1,1,1
3,1,68,401,107,66,201,3,1,1,1
3,1,69,525,100,119,279,38,1,1,1
3,1,70,646,79,95,340,16,1,1,1
3,1,71,152,32,21,90,11,1,1,1
3,1,72,523,98,67,222,7,1,1,1
3,1,73,740,140,148,424,38,1,1,1
3,1,74,137,12,14,71,0,1,1,1
3,2,75,2058,161,845,1332,327,1,1,1
3,2,76,1856,248,676,924,364,1,2,1
3,2,77,1098,154,482,558,249,1,5,1
3,2,78,1652,200,530,826,280,1,1,1
3,2,79,1012,167,426,514,269,1,6,3
