"entidad","municipio","seccion","pobtot","p_60ymas","p18ym_pb","pea","vph_inter","num_zu","num_ss","num_farm"
4,1,1,663,127,440,371,183,4,1,1
4,1,2,807,106,386,450,161,1,1,1
4,1,3,773,154,453,421,189,1,1,1
4,1,4,17196,1301,5077,8851,2367,3,6,4
4,1,5,1350,202,687,708,285,1,1,1
4,1,6,1619,214,867,889,379,1,2,1
4,1,7,1053,209,597,616,281,1,1,1
4,1,8,934,102,434,489,198,1,1,1
4,1,9,6965,454,3687,3849,1603,3,4,6
4,1,10,875,121,292,453,136,1,1,1
4,1,11,904,207,415,464,180,3,1,1
4,1,12,1742,425,836,870,323,1,7,2
4,1,13,2240,314,756,1123,306,1,1,1
4,1,14,1351,196,411,683,197,1,1,1
4,1,15,1575,176,453,745,209,1,3,1
4,1,16,1546,146,495,742,205,1,2,1
4,1,17,10264,608,4822,5483,2251,2,2,2
4,1,18,853,145,396,446,169,1,1,1
4,1,19,1447,126,362,734,176,1,1,1
4,1,20,1650,169,540,853,232,1,1,1
4,1,21,2282,249,807,1353,343,1,1,1
4,1,22,1180,201,456,550,205,2,1,1
4,1,23,1289,215,484,605,188,1,1,1
4,1,24,1262,311,665,600,246,1,3,2
4,1,25,656,193,359,309,147,1,2,1
4,1,26,1187,336,677,550,298,4,6,1
4,1,27,1079,337,700,500,291,10,8,4
4,1,28,513,147,329,254,146,16,32,6
4,1,29,887,226,533,441,224,1,36,2
4,1,30,772,230,522,362,221,3,7,1
4,1,31,785,194,430,391,169,1,3,1
4,1,32,959,235,498,450,205,1,4,1
4,1,33,1189,178,380,586,176,1,1,1
4,1,34,1640,223,528,754,217,1,2,1
4,1,35,1434,171,384,695,172,1,1,1
4,1,36,1476,211,448,754,197,1,1,1
4,1,37,1354,131,395,663,197,1,1,1
4,1,38,1001,140,548,484,213,1,2,2
4,1,39,2861,268,1066,1547,540,1,1,1
4,1,40,937,158,379,487,151,1,4,2
4,1,41,1030,164,354,525,159,1,1,1
4,1,42,1290,275,625,618,243,1,2,1
4,1,43,1148,237,539,581,205,2,2,1
4,1,44,1043,201,508,501,197,1,2,1
4,1,45,933,203,473,431,169,1,3,2
4,1,46,1275,311,674,643,279,2,19,1
4,1,47,1032,245,639,519,250,1,3,3
4,1,48,976,248,565,516,236,1,4,2
4,1,49,1213,317,673,629,281,1,16,9
4,1,50,606,200,391,294,174,1,5,7
4,1,51,1118,326,666,535,265,3,20,1
4,1,52,764,249,450,337,188,1,4,1
4,1,53,1060,305,607,509,263,4,2,1
4,1,54,907,251,534,417,216,1,1,1
4,1,55,1348,362,769,695,364,2,14,2
4,1,56,1077,230,607,577,270,1,39,2
4,1,57,1243,273,680,647,286,1,3,1
4,1,58,1343,316,727,666,317,1,1,1
4,1,59,1291,281,646,651,275,1,3,1
4,1,60,1123,203,504,593,204,1,2,3
4,1,61,981,197,505,465,201,1,1,1
4,1,62,1412,230,502,698,218,1,2,2
4,1,63,1822,216,627,910,296,1,1,1
4,1,64,1624,200,878,855,370,1,1,1
4,1,65,2511,256,735,1271,349,1,1,1
4,1,66,1467,256,685,718,309,1,1,1
4,1,67,1208,233,546,609,252,1,4,1
4,1,68,1823,259,672,898,296,2,2,1
4,1,69,1191,231,579,569,243,2,2,1
4,1,70,1432,322,875,699,331,1,8,3
4,1,71,1132,253,665,560,282,1,4,2
4,1,72,1489,404,898,699,369,2,7,2
4,1,73,1707,289,870,844,403,4,1,3
4,1,74,1296,336,659,575,288,3,10,2
4,1,75,2970,467,1551,1519,664,1,6,1
4,1,76,1066,274,601,582,264,1,4,1
4,1,77,1146,242,682,592,299,1,5,1
4,1,78,1117,210,517,566,212,1,2,1
4,1,79,11424,723,4225,5849,1887,1,2,1
4,1,80,980,230,473,471,226,1,1,1
4,1,81,18461,1273,9110,9617,4078,1,6,5
4,1,82,1345,164,802,740,334,1,3,2
4,1,83,7070,658,3202,3600,1435,4,7,3
4,1,84,1193,136,397,594,190,1,1,1
4,1,85,1408,193,539,743,244,1,1,1
4,1,86,1168,253,787,583,337,1,1,1
4,1,87,1131,209,612,605,263,2,33,2
4,1,88,752,223,482,395,203,2,2,3
4,1,89,1189,286,771,551,350,3,2,1
4,1,90,2582,378,1293,1268,590,2,1,1
4,1,91,2676,308,1076,1403,491,1,5,2
4,1,92,1520,310,1131,768,463,1,17,5
4,1,93,1361,331,1055,774,442,2,21,2
4,1,94,1846,325,976,944,437,1,2,1
4,1,95,2644,250,835,1272,402,1,1,1
4,1,96,1418,189,421,658,200,1,1,1
4,1,97,1500,177,423,739,243,1,1,1
4,1,98,994,189,616,498,248,4,6,1
4,1,99,1685,252,660,850,316,1,1,1
4,1,100,3301,399,1247,1589,592,1,3,1
4,1,101,3140,407,1386,1629,664,1,1,1
4,1,102,2525,279,1228,1321,533,1,1,3
4,1,103,1837,260,727,1006,317,2,2,2
4,1,104,1140,202,644,592,271,1,1,1
4,1,105,11577,844,4069,5758,1752,3,15,6
4,1,106,1734,222,1090,936,457,1,16,1
4,1,107,1837,248,786,926,341,1,2,1
4,1,108,4782,437,1428,2374,755,2,2,1
4,1,109,4028,371,1276,2040,593,1,1,2
4,1,110,1889,241,663,964,282,1,1,1
4,1,111,2676,262,769,1371,494,1,1,1
4,1,112,8631,741,3714,4434,1588,6,10,3
4,1,113,781,166,276,523,125,1,1,1
4,1,114,1400,241,441,790,202,1,3,4
4,1,115,1434,226,428,782,200,1,1,1
4,1,116,1456,244,473,691,245,1,2,1
4,1,117,2059,240,618,1043,291,1,1,1
4,1,118,1228,149,280,679,80,1,1,1
4,1,119,588,48,64,282,5,1,1,1
4,1,120,1284,125,170,666,49,1,1,1
4,1,121,1715,145,351,1022,51,1,1,1
4,1,122,2106,234,823,1076,329,1,1,1
4,1,123,1088,112,150,572,35,1,1,1
4,1,124,9146,511,3545,4704,1795,1,1,1
4,1,125,2058,268,592,934,210,1,1,1
4,1,126,3537,321,885,1632,319,1,2,1
4,1,127,1182,157,335,530,124,1,1,1
4,1,128,293,42,41,117,3,1,1,1
4,1,129,2273,214,381,1205,77,1,1,1
4,1,130,519,60,93,270,23,1,1,1
4,1,131,382,30,63,219,30,1,1,1
4,1,132,306,29,53,147,12,1,1,1
4,1,133,806,101,140,407,64,1,1,1
4,1,134,315,39,50,157,28,1,1,1
4,1,135,990,79,155,484,60,1,1,1
4,1,136,459,42,58,158,9,1,1,1
4,1,137,348,35,60,181,30,1,1,1
4,1,138,619,116,95,275,14,1,1,1
4,1,139,4174,338,412,1837,44,1,1,1
4,1,140,1276,215,223,622,112,1,1,1
4,1,141,1219,204,187,586,81,1,1,1
4,1,142,3673,406,619,1782,75,1,1,1
4,1,143,427,56,78,158,13,1,1,1
4,1,144,342,40,43,176,29,1,1,1
4,1,145,1157,156,128,608,95,1,1,1
4,1,146,787,60,73,435,35,1,1,1
4,2,147,2636,292,1073,1347,303,1,5,1
4,2,148,1432,225,670,642,180,1,8,2
4,2,149,1297,178,492,624,127,1,1,1
4,2,150,947,175,464,424,147,1,5,1
4,2,151,1088,168,491,521,137,1,8,3
4,2,152,1118,202,561,546,169,1,3,1
4,2,153,1306,236,614,600,186,1,4,1
4,2,154,2967,331,1274,1444,317,1,4,1
4,2,155,1936,290,842,1111,217,1,1,1
4,2,156,1275,177,489,594,117,1,1,1
4,2,157,968,137,206,555,86,1,1,1
4,2,158,1228,156,174,715,82,1,1,1
4,2,159,972,185,362,518,163,1,4,1
4,2,160,1162,230,462,491,102,1,1,1
4,2,161,1026,231,395,495,128,1,1,1
4,2,162,1336,166,370,603,73,1,1,1
4,2,163,1120,189,376,509,99,1,2,1
4,2,164,1161,213,475,557,143,1,1,2
4,2,165,403,36,12,240,6,1,1,1
4,2,166,2891,344,854,1415,162,1,2,2
4,2,167,1786,217,504,905,96,1,2,3
4,2,168,1849,232,559,882,60,1,2,1
4,2,169,2217,276,791,1243,333,1,1,1
4,2,170,1421,142,271,798,58,1,1,1
4,2,171,1031,126,202,631,48,1,1,1
4,2,172,2286,199,360,1364,68,1,1,1
4,12,173,2673,308,776,1267,157,1,1,1
4,12,174,1830,223,648,888,145,1,5,3
4,12,175,3042,306,824,1659,163,1,4,1
4,12,176,3831,339,865,1853,167,1,1,1
4,12,177,2062,253,579,1030,137,1,5,1
4,2,178,372,79,92,237,29,1,1,1
4,2,179,2306,198,291,1432,133,1,1,1
4,12,180,3135,297,399,1465,51,1,4,2
4,2,181,816,59,122,337,26,1,1,1
4,2,182,261,27,14,139,3,1,1,1
4,3,183,9229,522,3316,4702,1492,1,2,1
4,3,184,7418,560,3358,3597,1526,1,5,3
4,3,185,4381,304,1258,2099,578,1,1,1
4,3,186,2056,198,811,1050,360,1,1,1
4,3,187,2206,289,882,1068,413,1,1,1
4,3,188,2427,356,1345,1325,647,1,13,1
4,3,189,2047,298,872,1059,424,1,2,1
4,3,190,1982,244,888,1038,414,1,6,3
4,3,191,3223,272,1077,1595,549,1,2,1
4,3,192,1758,132,599,854,289,1,1,1
4,3,193,749,92,251,374,133,1,2,1
4,3,194,1976,243,728,963,361,1,1,1
4,3,195,1746,234,596,849,293,1,2,1
4,3,196,1727,242,635,853,342,1,11,2
4,3,197,1460,192,632,720,285,1,1,2
4,3,198,12,0,7,3,2,5,1,1
4,3,199,1651,285,721,825,346,1,5,3
4,3,200,1071,183,450,565,227,1,3,1
4,3,201,1139,164,404,611,210,1,2,1
4,3,202,1926,305,824,1006,379,3,3,3
4,3,203,1800,244,648,917,320,1,17,1
4,3,204,1085,144,575,553,272,2,1,1
4,3,205,6345,527,2207,3260,1163,1,3,2
4,3,206,3962,345,2274,2325,1069,1,7,3
4,3,207,2295,226,804,1289,412,1,1,1
4,3,208,1930,293,905,1007,430,1,5,5
4,3,209,1623,324,774,804,353,1,24,5
4,3,210,1938,303,876,1025,422,1,3,1
4,3,211,1355,281,577,653,275,1,5,1
4,3,212,876,106,441,472,198,2,1,1
4,3,213,893,182,472,462,224,1,5,1
4,3,214,1031,204,523,504,235,1,11,1
4,3,215,297,62,122,167,56,1,5,3
4,3,216,992,186,554,518,314,3,7,5
4,3,217,1313,243,641,687,287,1,2,1
4,3,218,1948,214,1035,962,462,1,10,1
4,3,219,719,111,405,376,180,1,3,1
4,3,220,1017,158,506,459,217,1,4,1
4,3,221,726,131,337,374,173,1,2,1
4,3,222,573,98,271,325,141,1,4,1
4,3,223,689,138,384,409,186,1,9,4
4,3,224,1136,221,532,604,241,1,2,1
4,3,225,1436,233,589,705,273,1,3,1
4,3,226,1594,192,517,649,269,1,3,1
4,3,227,1463,239,618,725,278,1,2,1
4,3,228,1212,205,534,580,251,1,5,3
4,3,230,9139,700,3143,4431,1545,1,4,7
4,3,231,2773,162,1088,1500,510,1,2,1
4,3,232,2423,349,999,1232,475,1,1,2
4,3,233,2317,304,1068,1238,465,1,2,3
4,3,234,2163,273,793,1121,343,1,3,1
4,3,235,1616,196,604,839,302,1,2,1
4,3,236,1681,201,502,838,267,1,3,1
4,3,237,1373,208,522,689,219,1,2,1
4,3,239,994,182,401,511,167,1,2,1
4,3,240,2211,212,572,1110,274,1,2,1
4,3,241,1619,158,501,835,218,1,2,3
4,3,242,1460,190,547,738,222,1,1,1
4,3,243,3289,240,1103,1569,521,1,3,8
4,3,244,12030,670,3396,6008,1636,1,9,4
4,3,245,1805,203,607,1180,315,1,1,1
4,3,246,1479,162,432,722,241,1,1,1
4,3,247,1494,131,346,816,218,1,1,1
4,3,248,1249,141,323,647,162,1,1,1
4,3,249,4827,339,964,2327,419,1,1,1
4,3,250,3766,308,418,1910,75,1,1,1
4,3,251,1376,219,320,646,98,1,5,4
4,3,252,1257,182,257,708,74,1,1,2
4,3,253,1620,174,312,742,75,1,1,1
4,3,254,1072,100,59,523,6,1,1,1
4,3,255,793,79,93,424,7,1,1,1
4,3,256,3401,307,634,1638,122,1,4,1
4,3,257,4250,356,824,2044,289,1,3,2
4,3,258,1889,234,179,1126,16,1,1,1
4,3,259,1764,187,319,828,69,1,1,1
4,3,260,1367,169,195,753,40,1,1,1
4,3,261,1837,201,143,895,21,1,1,1
4,3,262,2145,250,198,976,29,1,1,1
4,3,263,1562,128,250,637,38,1,1,1
4,3,264,589,47,99,273,12,1,1,1
4,3,265,3614,383,800,1647,169,1,2,1
4,3,266,1909,218,539,1072,125,1,4,4
4,3,267,4642,411,920,1874,107,1,4,1
4,3,268,2733,325,491,1142,67,1,2,1
4,3,269,974,98,155,372,20,1,1,1
4,3,270,393,46,42,206,4,1,1,1
4,3,271,1075,131,102,620,10,1,1,1
4,3,272,582,43,26,345,4,1,1,1
4,10,274,1373,188,202,598,25,1,1,1
4,10,275,717,85,49,363,3,1,1,1
4,10,276,475,54,29,307,6,1,1,1
4,10,277,2210,261,257,1495,18,1,1,1
4,10,279,2836,238,467,1378,161,1,1,1
4,10,280,2525,224,511,1192,193,1,1,3
4,10,281,2068,268,541,1080,173,1,21,11
4,10,282,1427,175,312,728,81,1,2,4
4,10,283,2470,191,499,1222,133,1,4,1
4,3,284,512,65,39,238,22,1,1,1
4,10,285,1132,123,150,613,22,1,1,1
4,10,286,426,60,27,232,2,1,1,1
4,10,287,409,74,43,232,7,1,1,1
4,10,288,569,78,46,261,1,1,1,1
4,10,289,772,107,101,411,9,1,1,1
4,10,290,176,20,13,79,1,1,1,1
4,10,291,1259,189,151,641,23,1,1,1
4,10,292,754,105,94,324,8,1,1,1
4,10,293,1229,197,142,488,50,1,1,1
4,10,294,260,30,20,126,9,1,1,1
4,10,295,2752,170,139,1456,48,1,1,1
4,10,296,1021,115,106,574,3,1,1,1
4,10,297,908,83,89,469,7,1,1,1
4,10,298,1236,184,151,567,25,1,1,1
4,10,299,1547,185,220,845,88,1,1,1
4,10,300,501,59,18,279,2,1,1,1
4,10,301,4079,309,315,1703,126,1,1,1
4,10,302,414,40,35,199,15,1,1,1
4,4,303,1044,121,225,525,127,1,1,1
4,4,304,1438,222,507,751,268,1,3,1
4,4,305,1917,218,541,838,285,1,1,1
4,4,306,1241,131,418,585,184,1,1,1
4,4,307,1336,187,481,630,232,1,2,1
4,4,308,467,120,261,264,110,1,19,6
4,4,309,870,185,368,419,166,1,6,2
4,4,310,1198,179,443,663,182,1,2,1
4,4,311,1256,224,474,612,188,1,1,1
4,4,312,2960,234,688,1325,458,1,1,1
4,4,313,2291,254,639,1130,268,1,2,1
4,4,314,1591,205,466,782,201,1,3,2
4,4,315,2118,230,538,1021,244,1,1,6
4,4,316,2193,207,445,1008,237,1,1,1
4,4,317,3403,221,653,1569,309,1,1,1
4,4,318,2193,196,587,1047,274,1,7,5
4,4,319,9393,640,1865,4311,910,1,1,2
4,13,320,2310,237,611,1101,92,1,1,1
4,13,321,872,221,365,389,82,1,2,1
4,13,322,1753,214,545,808,118,1,1,1
4,13,323,1241,256,492,487,142,1,1,3
4,13,324,1586,255,524,721,133,1,3,1
4,13,325,1765,207,537,853,169,1,2,1
4,13,326,1078,131,213,446,26,1,1,1
4,13,327,2502,237,400,1015,115,1,1,1
4,13,328,2267,229,391,996,90,1,1,1
4,4,329,1247,169,207,580,25,1,1,1
4,4,330,1209,189,311,472,47,1,1,1
4,4,332,715,87,181,364,141,1,1,1
4,4,333,1697,154,228,859,99,1,1,1
4,4,334,1667,189,199,912,204,1,1,1
4,4,335,953,131,100,394,169,1,1,1
4,4,336,1216,164,127,634,48,1,1,1
4,4,337,1059,139,91,502,73,1,1,1
4,4,338,341,47,70,179,3,1,1,1
4,4,339,757,73,91,347,19,1,1,1
4,4,340,3181,277,276,1764,78,1,1,1
4,4,341,1784,219,282,1045,53,1,1,1
4,4,342,1556,172,324,708,23,1,2,1
4,4,343,1387,154,252,622,17,1,1,1
4,4,344,975,144,125,483,25,1,1,1
4,4,345,1296,157,141,671,14,1,1,3
4,4,346,1684,186,154,674,17,1,1,1
4,4,347,2042,228,279,978,86,1,1,1
4,4,348,911,131,121,474,7,1,1,1
4,4,349,1592,199,260,706,31,1,1,1
4,4,350,1990,182,342,941,5,1,1,1
4,4,351,692,58,115,334,5,1,1,1
4,4,352,819,81,90,351,19,1,1,1
4,4,353,591,49,64,229,5,1,1,1
4,4,354,992,126,111,446,5,1,1,1
4,4,355,353,46,66,176,3,1,1,1
4,9,356,3191,276,290,1611,61,1,1,1
4,9,357,998,82,68,469,68,1,1,1
4,9,358,389,50,54,286,4,1,1,1
4,11,359,1294,115,110,502,29,1,1,1
4,11,360,2144,216,240,999,116,1,1,1
4,9,361,2041,201,153,1065,145,1,1,1
4,11,362,1236,126,110,538,13,1,1,1
4,5,363,3042,407,1181,1474,333,1,4,1
4,5,364,3729,509,1533,1854,468,1,6,6
4,5,365,1220,169,513,594,160,1,1,1
4,5,366,1958,302,897,1010,296,1,1,1
4,5,367,867,108,316,466,102,1,2,1
4,5,368,621,77,272,290,71,1,6,1
4,5,369,1100,81,139,427,30,1,1,1
4,5,370,1825,247,505,1040,323,1,1,1
4,5,371,1348,126,381,567,117,1,1,1
4,5,372,2094,195,370,1090,25,1,1,1
4,5,373,1449,120,340,561,22,1,1,1
4,5,374,499,68,96,215,12,1,1,1
4,5,375,1981,231,631,925,139,1,2,1
4,5,376,2154,256,635,1045,148,1,1,1
4,5,377,1484,235,495,696,73,1,2,4
4,5,378,2010,227,572,1064,97,1,1,1
4,5,379,1976,180,435,1051,65,1,3,1
4,5,380,2934,127,167,1025,2,1,1,1
4,6,381,2836,269,861,1379,211,1,5,2
4,6,382,5517,415,909,2376,181,1,6,2
4,6,383,1212,207,473,564,118,1,2,6
4,6,384,1163,147,420,535,81,1,3,1
4,6,385,472,34,86,221,2,1,1,1
4,6,386,584,53,56,286,7,1,1,1
4,6,387,416,20,34,206,7,1,1,1
4,6,388,3320,427,778,1810,227,1,1,3
4,6,389,1300,164,266,624,54,1,1,1
4,6,390,457,28,62,178,3,1,1,1
4,6,391,505,105,63,233,9,1,1,1
4,6,392,474,35,41,208,6,1,1,1
4,6,393,154,12,9,69,0,1,1,1
4,6,394,1008,134,235,536,122,1,1,1
4,6,395,1435,105,200,651,102,1,1,1
4,6,396,671,84,137,242,24,1,1,1
4,6,397,802,124,128,338,28,1,1,1
4,6,398,1113,141,143,478,17,1,1,1
4,6,399,645,86,95,287,18,1,1,1
4,6,400,2334,262,258,1013,15,1,2,2
4,6,401,1762,193,205,1008,16,1,1,1
4,6,402,880,60,49,409,2,1,1,1
4,6,403,1837,244,319,936,77,1,1,1
