"entidad","municipio","seccion","pobtot","p_60ymas","p18ym_pb","pea","vph_inter","num_zu","num_ss","num_farm"
5,1,1,749,150,198,334,31,1,3,1
5,1,2,255,77,39,97,9,1,1,1
5,2,3,2845,349,751,1430,583,1,1,1
5,2,4,6431,565,1546,3251,898,2,2,1
5,2,5,1902,194,620,1002,328,1,1,1
5,2,6,773,150,287,401,155,1,1,1
5,2,7,1166,184,434,654,232,2,2,3
5,2,8,1241,185,312,625,170,1,1,1
5,2,10,22485,1168,5158,11713,3105,1,8,4
5,2,11,2965,332,919,1636,626,1,1,1
5,2,12,3531,399,1068,1822,620,1,2,1
5,2,13,410,82,164,213,78,1,5,1
5,2,14,724,147,176,364,121,1,1,1
5,2,15,626,141,229,339,122,1,35,1
5,2,16,600,153,265,310,147,1,49,8
5,2,17,781,159,364,401,210,1,20,3
5,2,18,1559,277,493,906,260,1,1,1
5,2,19,13684,796,3915,7185,1962,1,4,2
5,2,20,1018,201,295,493,209,1,1,1
5,2,21,1024,176,243,523,203,1,1,1
5,2,22,858,134,231,404,144,1,1,1
5,2,23,515,86,168,266,99,1,1,1
5,2,24,497,99,192,248,116,1,3,3
5,2,25,1458,222,663,809,348,1,6,1
5,2,26,833,120,382,433,170,1,1,1
5,2,27,1006,141,231,493,135,1,1,1
5,2,28,1621,212,404,767,216,1,1,1
5,2,29,2179,273,504,1126,307,1,1,1
5,2,30,1291,282,718,638,357,1,6,3
5,2,31,11592,696,3525,5728,1809,1,3,1
5,2,32,836,113,193,477,119,1,1,1
5,2,33,13786,468,3541,7232,1930,1,1,3
5,2,34,6126,549,1225,2931,667,1,1,1
5,2,35,5379,457,953,2688,453,1,1,1
5,2,36,1755,257,402,813,194,1,1,1
5,2,37,1666,161,312,762,154,1,1,1
5,2,40,128,12,5,99,2,1,1,1
5,2,41,19185,662,3381,9348,1926,1,1,1
5,3,42,4162,246,1211,1860,612,1,3,1
5,3,43,1943,237,506,896,406,1,1,1
5,3,44,1304,166,203,547,181,1,1,1
5,3,45,858,162,267,352,171,1,3,1
5,3,46,791,188,334,330,181,1,14,1
5,3,47,2153,237,540,936,314,1,1,1
5,3,48,921,136,140,380,102,1,1,1
5,3,49,1255,204,358,510,224,1,3,2
5,3,50,1244,224,362,596,206,1,7,1
5,3,51,3938,216,801,1579,403,1,1,1
5,3,52,713,125,205,284,130,1,2,1
5,3,53,846,155,227,333,171,1,1,1
5,3,54,1284,231,408,519,271,1,1,1
5,3,55,1578,215,200,569,73,1,1,1
5,3,56,59,24,3,23,0,1,1,1
5,4,57,7664,703,3190,3912,1500,1,7,1
5,4,58,839,121,312,413,150,1,4,1
5,4,59,2795,340,707,1260,384,1,4,2
5,4,61,285,76,32,151,3,1,1,1
5,4,63,1426,192,358,652,166,1,1,1
5,4,64,952,178,109,436,14,1,1,1
5,4,66,637,94,51,280,5,1,1,1
5,4,67,167,27,17,63,4,1,1,1
5,4,68,291,54,31,100,0,1,1,1
5,4,69,1449,159,107,574,9,1,1,1
5,4,70,516,84,58,231,7,1,1,1
5,4,71,173,44,8,88,1,1,1,1
5,4,72,213,35,8,98,1,1,1,1
5,4,73,261,40,38,117,1,1,1,1
5,4,74,484,91,58,207,1,1,1,1
5,4,75,2636,370,421,1053,44,1,1,1
5,4,76,334,46,50,135,3,1,1,1
5,4,77,260,27,40,114,3,1,1,1
5,4,78,978,153,70,368,4,1,1,1
5,4,79,1781,221,154,648,14,1,1,1
5,4,80,605,81,50,257,2,1,1,1
5,5,81,518,77,89,182,29,1,2,1
5,5,82,925,185,158,272,39,1,1,3
5,5,83,209,38,26,73,4,1,1,1
5,6,84,3782,277,1160,1452,443,1,2,1
5,6,85,1307,135,343,489,122,1,2,1
5,6,86,2855,152,551,1071,220,1,1,1
5,6,87,2027,331,723,866,309,1,2,1
5,6,88,1024,220,412,461,166,1,13,4
5,6,89,1763,263,544,664,240,1,1,1
5,6,90,3498,254,905,1400,319,1,1,1
5,6,91,1683,187,415,716,196,1,1,1
5,6,92,927,170,243,379,153,1,1,1
5,6,93,792,154,270,346,126,1,3,1
5,6,94,2151,272,532,888,229,1,1,1
5,6,96,2011,251,615,823,317,1,1,1
5,6,97,329,79,38,172,18,1,1,1
