"entidad","municipio","seccion","pobtot","p_60ymas","p18ym_pb","pea","vph_inter","num_zu","num_ss","num_farm"
6,1,1,6416,1124,4639,3402,2097,19,64,7
6,1,2,912,203,643,517,289,10,34,3
6,1,3,1563,372,707,791,364,1,3,1
6,1,4,814,285,460,354,199,5,10,1
6,1,5,541,158,249,282,132,1,11,1
6,1,6,2002,434,1457,1129,656,7,89,5
6,1,7,846,208,443,446,188,3,1,1
6,1,8,961,293,602,456,257,1,12,1
6,1,9,882,285,565,418,244,3,30,1
6,1,10,1171,251,452,681,229,1,3,4
6,1,11,532,191,364,263,169,1,27,5
6,1,12,1097,240,765,493,331,7,8,4
6,1,13,1941,465,1333,1048,609,4,6,1
6,1,14,1022,196,456,510,226,1,1,1
6,1,15,578,130,282,280,144,1,3,1
6,1,16,549,172,340,294,141,2,10,1
6,1,17,696,143,345,363,153,1,8,1
6,1,18,822,232,450,430,225,1,10,1
6,1,19,967,293,584,443,268,1,7,1
6,1,20,798,285,562,385,262,1,25,3
6,1,21,1101,364,783,574,373,4,3,1
6,1,22,903,176,486,466,227,1,1,1
6,1,23,3965,404,1582,2054,877,3,2,1
6,1,24,5980,570,2281,3226,1347,2,2,1
6,1,25,1165,206,461,646,238,5,1,1
6,1,26,806,242,332,396,178,2,7,5
6,1,27,697,233,392,371,164,1,6,1
6,1,28,483,137,294,281,131,1,12,1
6,1,29,641,193,362,340,164,1,27,1
6,1,30,400,113,208,216,107,1,3,1
6,1,31,926,248,523,448,224,1,9,1
6,1,32,1146,261,432,604,234,1,5,1
6,1,33,1276,416,741,570,352,1,1,1
6,1,34,1261,267,804,628,358,1,10,1
6,1,35,1397,269,606,745,313,2,4,1
6,1,36,1589,244,543,816,307,1,1,1
6,1,37,2872,413,926,1477,562,1,6,2
6,1,38,875,215,347,456,182,1,2,1
6,1,39,520,120,237,289,122,1,1,1
6,1,40,495,137,243,286,126,1,2,1
6,1,41,383,115,249,211,102,1,22,7
6,1,42,535,132,290,300,130,1,46,3
6,1,43,1055,235,420,565,241,5,2,1
6,1,44,418,105,181,195,95,1,1,1
6,1,45,1698,391,732,881,375,1,1,2
6,1,46,870,193,416,458,237,1,1,1
6,1,47,1232,337,691,634,335,1,2,2
6,1,48,1118,291,649,568,304,1,8,2
6,1,49,291,82,164,180,79,1,9,7
6,1,50,754,208,354,392,172,1,11,1
6,1,51,655,188,305,369,173,2,4,1
6,1,52,1574,384,616,808,369,1,1,1
6,1,53,1408,285,634,792,331,1,1,1
6,1,54,3093,460,1634,1611,805,4,12,1
6,1,55,1043,251,349,553,186,1,18,1
6,1,56,454,126,270,276,126,1,6,1
6,1,57,694,181,349,372,181,1,5,1
6,1,58,977,221,395,541,218,1,4,2
6,1,59,1189,234,247,645,186,1,1,1
6,1,60,11630,908,3707,6238,2386,1,18,9
6,1,61,2442,261,726,1288,413,2,1,1
6,1,62,11232,1009,2747,5932,1898,1,3,3
6,1,63,1251,237,369,640,214,1,2,1
6,1,64,1214,321,395,647,233,1,5,3
6,1,65,2744,327,1005,1486,594,1,1,1
6,1,66,1086,256,422,580,220,1,4,1
6,1,67,883,236,441,466,228,1,8,2
6,1,68,1662,323,745,843,388,2,4,3
6,1,69,6096,442,2221,3169,1296,4,3,2
6,1,70,1141,354,718,581,331,1,10,1
6,1,71,839,181,260,450,159,1,1,1
6,1,72,740,158,240,387,144,1,1,1
6,1,73,7357,445,2657,4134,1672,3,2,1
6,1,74,2279,309,590,1214,439,1,2,1
6,1,75,2164,209,613,1143,409,1,1,1
6,1,76,4181,254,1265,2215,871,1,1,1
6,1,77,3075,334,1634,1571,822,4,2,1
6,1,78,295,50,181,166,93,1,1,1
6,1,79,2734,348,1524,1434,743,2,2,6
6,1,80,734,161,390,410,212,1,1,3
6,1,81,4130,469,1526,2282,862,4,2,2
6,1,82,5755,483,1658,2840,845,1,4,1
6,1,83,1247,122,337,630,162,1,1,1
6,1,84,1569,224,296,697,73,1,1,1
6,1,85,1076,223,154,518,41,1,1,1
6,1,86,969,108,231,474,80,1,1,1
6,1,87,1135,169,158,598,101,1,1,1
6,1,88,876,246,179,439,96,1,1,1
6,1,89,743,178,147,350,80,1,1,1
6,1,90,448,101,66,208,45,1,1,1
6,1,91,526,96,63,232,123,1,1,1
6,2,92,3213,420,1004,1816,584,1,2,2
6,2,93,1642,373,677,919,363,1,8,2
6,2,94,1630,360,672,902,337,1,5,3
6,2,95,2188,336,645,1160,372,1,1,1
6,2,96,1484,361,697,759,352,1,5,2
6,2,97,413,75,58,269,43,1,1,1
6,2,98,111,17,22,49,8,1,1,1
6,2,99,554,122,74,300,23,1,1,1
6,2,100,2138,297,414,1106,258,1,1,1
6,2,101,2035,294,292,988,29,1,1,1
6,2,102,751,118,136,370,101,1,1,1
6,2,103,2718,229,491,1462,221,1,1,1
6,2,104,2843,264,491,1424,283,1,1,1
6,3,105,4818,359,1417,2403,895,1,1,1
6,3,106,2097,306,559,1298,319,1,1,1
6,3,107,1841,319,486,878,301,1,3,2
6,3,108,1552,217,337,826,196,1,1,1
6,3,109,923,203,340,437,171,1,3,3
6,3,110,1283,201,248,650,179,1,1,1
6,3,111,3060,381,696,1614,413,1,2,3
6,3,112,352,82,36,140,0,1,1,1
6,3,113,445,64,60,206,13,1,1,1
6,3,114,304,53,43,158,18,1,1,1
6,3,115,343,68,38,165,2,1,1,1
6,3,116,1442,300,183,617,166,1,1,1
6,3,117,949,188,140,430,97,1,1,1
6,3,118,869,132,134,478,103,1,1,1
6,3,119,629,123,84,385,31,1,1,1
6,4,120,2899,424,1026,1498,504,1,5,1
6,4,121,1631,252,600,850,303,1,4,3
6,4,122,1257,244,468,616,219,1,9,2
6,4,123,1738,298,566,879,289,1,4,2
6,4,124,2268,281,687,1142,379,1,1,1
6,4,125,2065,212,462,1030,236,1,1,1
6,4,126,2525,285,566,1273,283,1,5,4
6,4,127,1583,222,480,774,229,1,4,1
6,4,128,1007,174,312,462,137,1,2,3
6,4,129,1282,225,360,627,171,1,1,1
6,4,130,1692,221,450,804,221,1,1,1
6,4,131,1889,369,595,859,347,1,1,1
6,4,132,2003,382,678,937,339,1,1,1
6,4,133,1136,199,203,548,108,1,1,1
6,4,134,2403,385,705,1241,396,1,1,2
6,4,135,2658,379,793,1350,438,1,3,1
6,4,136,569,128,110,279,42,1,1,1
6,4,137,1152,226,269,537,108,1,1,1
6,5,138,10541,971,4378,5729,2410,1,7,5
6,5,139,13520,1388,7508,7436,3699,7,21,10
6,5,140,6609,774,3288,3548,1663,3,2,2
6,5,141,1496,195,925,842,433,4,2,1
6,5,142,893,164,358,504,195,1,1,2
6,5,143,1378,238,554,759,289,1,1,1
6,5,144,1961,357,1130,1132,525,1,5,1
6,5,145,14467,1725,8509,7703,4174,10,15,3
6,5,146,16930,938,7289,9594,4192,9,8,1
6,5,147,2190,449,974,1085,490,1,10,9
6,5,148,1704,428,902,842,394,2,23,1
6,5,149,1803,320,840,1029,440,1,4,1
6,5,150,1219,242,324,619,207,1,1,1
6,5,151,849,237,357,433,166,1,8,1
6,5,152,9875,615,4007,5595,2317,1,4,3
6,5,153,1149,244,369,581,215,1,1,1
6,5,154,1009,249,323,523,169,1,3,1
6,5,155,1467,287,595,762,291,1,4,1
6,5,156,959,196,325,507,188,1,1,1
6,5,157,1036,241,421,572,212,1,3,1
6,5,158,729,159,249,481,183,1,1,1
6,5,159,2342,445,796,1205,459,2,1,1
6,5,160,3938,442,1649,2131,940,1,1,1
6,5,161,5395,609,2767,2899,1394,2,3,3
6,5,162,2588,275,1221,1527,635,1,5,5
6,5,164,1781,351,727,944,385,2,1,1
6,5,165,1583,231,707,860,366,1,1,1
6,5,166,475,67,80,258,45,1,1,1
6,5,167,579,114,86,276,35,1,1,1
6,5,168,520,85,77,264,7,1,1,1
6,5,169,590,129,190,293,82,1,1,1
6,6,170,2939,311,674,1485,329,1,2,1
6,6,171,2466,317,516,1383,205,1,1,1
6,6,172,1024,210,274,543,157,1,6,1
6,6,173,1204,208,376,623,159,2,2,1
6,6,174,1122,192,226,735,126,1,1,1
6,6,175,644,124,212,363,98,1,4,5
6,6,176,1160,173,283,602,141,1,1,1
6,6,177,1554,197,262,886,96,1,1,1
6,6,178,1735,203,253,883,103,1,1,1
6,6,179,1003,166,227,559,94,1,1,1
6,6,180,901,173,224,509,73,1,1,1
6,6,181,1448,208,156,788,200,1,1,1
6,6,182,1642,226,208,824,123,1,1,1
6,6,183,1401,165,160,749,73,1,1,1
6,6,184,655,101,96,327,17,1,1,1
6,6,185,1283,169,177,679,128,1,1,1
6,6,186,1243,225,212,593,129,1,1,1
6,6,187,1245,185,190,531,114,1,2,3
6,6,188,1936,234,251,967,129,1,1,1
6,6,189,480,67,86,294,58,1,1,1
6,6,190,539,110,143,319,84,1,1,1
6,7,191,1448,210,415,748,130,1,1,1
6,7,192,1605,246,472,774,192,1,2,2
6,7,193,168,45,28,101,17,1,1,1
6,7,194,421,61,52,213,13,1,1,1
6,7,195,629,118,87,313,91,1,1,1
6,7,196,388,63,61,218,53,1,1,1
6,7,197,211,42,23,61,27,1,1,1
6,7,199,745,122,85,289,89,1,1,1
6,8,200,621,98,223,304,112,1,1,1
6,8,201,7,4,3,2,3,1,1,1
6,8,202,2322,366,656,1232,368,1,1,1
6,8,203,589,99,174,301,106,1,1,1
6,8,204,1829,244,508,921,299,1,1,1
6,8,205,1091,151,299,535,195,1,1,1
6,8,206,1893,276,552,950,330,1,1,1
6,8,207,467,88,184,237,96,1,1,1
6,8,208,985,187,341,498,178,2,9,2
