"entidad","municipio","seccion","pobtot","p_60ymas","p18ym_pb","pea","vph_inter","num_zu","num_ss","num_farm"
7,1,2,2914,314,674,1372,445,1,9,10
7,1,3,3703,400,677,1595,290,1,1,3
7,1,4,809,73,20,385,12,1,1,1
7,1,5,1884,196,112,962,11,1,1,1
7,1,6,3001,321,415,1343,56,1,1,1
7,2,7,3641,364,534,1485,63,1,4,2
7,2,8,1653,225,354,700,44,1,4,1
7,2,9,4604,370,482,2139,51,1,1,1
7,2,10,1638,296,459,750,89,1,6,11
7,2,11,1954,263,605,909,122,1,11,4
7,2,12,1287,193,398,674,59,1,1,1
7,2,13,1155,183,306,594,50,1,2,1
7,2,14,1363,137,157,631,9,1,1,1
7,122,15,2013,217,219,1112,12,1,1,1
7,122,16,2559,273,590,1185,219,1,1,2
7,122,17,3664,513,824,1733,264,1,4,4
7,2,18,484,50,67,262,14,1,1,1
7,2,19,3415,345,310,1375,58,1,1,1
7,122,20,2547,313,425,878,25,1,1,1
7,3,21,2028,246,473,875,76,1,3,1
7,3,22,1958,239,590,917,141,1,1,1
7,3,23,1441,202,374,674,107,1,7,8
7,3,24,2399,277,638,1171,173,1,4,2
7,3,25,2443,304,259,1126,82,1,1,1
7,3,26,2506,363,433,1120,29,1,1,1
7,3,27,2164,265,313,856,30,1,5,2
7,3,28,3175,330,401,1422,18,1,1,1
7,3,29,1455,159,257,778,9,1,1,1
7,3,30,1783,229,276,970,20,1,1,1
7,3,31,1778,231,226,785,34,1,1,1
7,3,32,1125,174,166,473,8,1,1,1
7,3,33,777,75,68,418,8,1,1,1
7,3,34,2861,373,363,1350,60,1,1,1
7,4,35,4447,328,757,1978,153,1,4,3
7,4,36,3378,255,515,1324,38,1,3,7
7,4,37,5446,363,959,2523,96,1,4,2
7,4,38,2329,127,84,799,3,1,1,1
7,4,39,3217,210,263,1278,4,1,1,1
7,4,40,4517,271,207,1448,19,1,1,1
7,4,41,4446,266,222,2006,23,1,1,1
7,4,42,5001,250,183,1949,4,1,1,1
7,4,43,3977,177,257,2010,10,1,1,1
7,5,44,3527,392,626,1220,198,1,6,9
7,5,45,1445,130,106,505,3,1,1,1
7,5,46,1058,71,46,330,1,1,1,1
7,5,47,994,65,42,329,1,1,1,1
7,5,48,3360,221,438,1665,95,1,1,1
7,5,49,1611,181,159,774,15,1,1,1
7,5,50,5090,313,488,2366,50,1,1,1
7,5,51,1975,111,63,978,9,1,1,1
7,5,52,2730,152,164,1261,26,1,1,1
7,5,53,2841,185,426,1220,58,1,1,1
7,6,54,2928,291,388,1163,54,1,1,1
7,6,55,2320,225,205,941,70,1,1,1
7,6,56,1899,210,191,783,91,1,1,1
7,6,57,2404,245,275,919,61,1,1,1
7,6,58,562,81,50,233,3,1,1,1
7,6,59,2077,225,216,727,10,1,1,1
7,6,60,1722,233,347,717,34,1,3,4
7,6,61,2418,269,356,1031,34,1,1,2
7,6,62,1618,278,363,748,95,1,1,1
7,6,63,922,90,30,287,81,1,1,1
7,6,64,3285,311,224,1162,145,1,1,1
7,6,65,3384,323,415,1552,347,1,1,1
7,6,66,3657,361,448,1393,160,1,1,1
7,6,67,2487,220,130,883,155,1,1,1
7,7,68,2734,248,239,1311,13,1,1,5
7,7,69,1816,165,165,878,4,1,1,1
7,7,70,3513,230,158,925,0,1,1,1
7,7,71,3194,202,80,1323,2,1,1,1
7,8,72,2225,245,581,1124,308,1,5,6
7,8,73,2584,232,572,1293,137,1,10,7
7,8,74,2662,293,658,1188,139,1,4,8
7,8,75,1829,164,318,841,206,1,2,1
7,8,76,2945,254,261,1476,78,1,1,1
7,8,77,7105,559,908,2740,190,1,1,1
7,8,78,4295,396,341,1630,66,1,2,5
7,8,79,1405,76,50,793,5,1,1,1
7,8,80,3114,236,262,1632,37,1,1,1
7,116,81,1159,83,117,537,17,1,1,1
7,8,82,2681,257,349,1393,80,1,1,1
7,116,83,3500,265,450,1288,160,1,1,7
7,8,84,742,55,95,417,81,1,1,1
7,8,85,599,21,20,251,33,1,1,1
7,116,86,1942,143,155,730,111,1,1,1
7,116,87,1787,140,196,583,22,1,1,1
7,9,88,1976,318,580,1041,213,1,1,1
7,9,89,835,156,346,448,126,1,1,1
7,9,90,931,187,395,478,134,1,5,1
7,9,91,2832,421,760,1386,278,1,7,2
7,9,92,2238,349,560,1046,173,1,1,1
7,9,93,1051,178,388,647,173,1,3,1
7,9,94,498,98,236,284,90,1,8,6
7,9,95,2346,343,506,1161,184,1,2,1
7,9,96,1320,252,512,670,226,1,14,5
7,9,97,1624,231,550,784,211,1,3,1
7,9,98,5441,556,1467,2943,743,1,1,1
7,9,99,2039,316,682,1119,347,1,2,1
7,9,100,2323,242,865,1449,354,1,1,1
7,9,101,351,58,48,186,33,1,1,1
7,9,102,589,82,85,279,2,1,1,1
7,9,103,1624,263,335,829,108,1,1,1
7,9,104,1770,266,275,771,23,1,1,1
7,9,105,1052,208,240,537,32,1,1,1
7,9,106,1811,432,453,887,32,1,1,1
7,9,107,614,81,112,277,6,1,1,1
7,9,108,253,32,16,129,21,1,1,1
7,9,109,1539,288,248,756,25,1,1,1
7,9,110,1854,182,163,1086,9,1,1,1
7,9,111,2165,202,253,891,15,1,1,1
