"entidad","municipio","seccion","pobtot","p_60ymas","p18ym_pb","pea","vph_inter","num_zu","num_ss","num_farm"
8,1,1,1326,139,203,641,146,1,1,1
8,1,2,708,104,166,333,105,1,3,2
8,1,3,1136,103,276,557,206,1,1,1
8,1,4,927,134,258,474,179,1,1,1
8,1,5,1095,163,178,506,155,1,2,1
8,1,6,3107,241,544,1504,369,1,1,1
8,1,7,1229,113,238,616,182,1,1,1
8,1,8,1643,136,279,796,177,1,1,1
8,1,10,376,32,36,105,61,1,1,1
8,1,11,85,20,10,39,4,1,1,1
8,1,12,228,40,17,50,3,1,1,1
8,1,13,577,69,52,249,21,1,1,1
8,1,14,620,55,51,237,14,1,1,1
8,1,15,842,23,22,432,130,1,1,1
8,1,16,731,31,37,288,111,1,1,1
8,2,17,4662,318,1058,2233,517,1,2,1
8,2,18,1598,170,289,753,148,1,1,1
8,2,19,2493,254,501,1185,248,1,1,1
8,2,20,951,186,225,391,153,1,1,1
8,2,21,584,140,208,295,148,1,10,4
8,2,22,790,159,171,378,95,1,1,1
8,2,23,836,176,176,372,102,1,1,1
8,2,24,1050,248,330,449,192,1,4,1
8,2,25,580,138,159,273,94,1,1,1
8,2,26,843,122,349,535,156,1,1,1
8,2,27,1132,140,250,617,141,1,1,1
8,2,28,1728,179,368,864,176,1,1,1
8,2,30,220,65,6,106,3,1,1,1
8,2,31,168,37,14,82,4,1,1,1
8,2,32,649,109,50,311,12,1,1,1
8,2,33,1179,108,168,615,69,1,1,1
8,2,34,2078,262,517,962,212,3,1,1
8,2,35,232,33,19,106,2,1,1,1
8,2,36,93,26,6,45,2,1,1,1
8,2,37,141,37,12,74,0,1,1,1
8,3,38,1381,190,498,652,222,1,1,2
8,3,39,1204,275,471,552,232,1,1,2
8,3,40,1002,193,315,472,138,1,2,2
8,3,41,1099,159,327,551,137,1,1,1
8,3,43,355,76,35,128,7,1,1,1
8,3,45,135,32,2,53,1,1,1,1
8,3,46,184,38,12,79,10,1,1,1
8,3,47,146,45,26,69,14,1,1,1
8,3,48,355,54,18,145,47,1,1,1
8,3,49,236,36,50,92,39,1,1,1
8,3,50,165,47,29,68,8,1,1,1
8,3,51,178,36,17,69,4,1,1,1
8,3,52,306,54,38,97,28,1,1,1
8,3,53,615,128,142,265,64,1,1,1
8,3,54,705,147,149,293,106,1,1,1
8,3,55,431,128,107,177,41,1,1,1
8,4,56,1163,180,327,492,123,1,1,1
8,4,57,362,44,83,179,15,1,1,1
8,4,59,22861,891,4616,11482,2166,1,2,1
8,5,60,2162,251,417,994,333,1,2,1
8,5,61,1870,220,341,900,271,1,1,1
8,5,62,699,162,169,353,122,1,7,3
8,5,63,772,113,170,362,125,1,3,2
8,5,64,2609,174,273,1277,254,1,1,1
8,5,65,474,72,117,222,83,1,1,1
8,5,66,753,137,134,394,105,1,3,1
8,5,67,1143,130,171,541,161,1,1,1
8,5,68,217,40,51,111,43,1,1,1
8,5,69,502,59,92,240,63,1,1,1
8,5,70,1650,96,169,750,144,1,1,1
8,5,71,353,26,58,150,45,1,1,1
8,5,72,2392,216,434,993,245,1,1,1
8,5,73,640,89,128,269,71,1,1,1
8,5,74,499,81,76,245,57,1,14,5
8,5,75,1208,153,228,565,139,1,1,1
8,5,76,1391,151,271,603,154,1,1,1
8,5,78,1040,133,138,479,62,1,1,1
8,5,79,1201,161,160,521,47,1,1,1
8,5,80,631,23,20,239,74,1,1,1
8,5,81,3951,174,511,1694,342,1,1,1
8,6,82,549,135,89,302,58,1,1,1
8,6,83,725,119,140,347,53,1,1,1
8,6,84,300,62,24,120,51,1,1,1
8,6,85,357,81,63,159,69,1,1,1
8,6,86,84,23,3,34,16,1,1,1
8,6,87,474,108,65,237,25,1,1,1
8,6,88,396,83,31,158,4,1,1,1
8,6,89,228,53,24,97,6,1,1,1
8,6,90,349,84,18,164,21,1,1,1
8,6,91,121,38,6,49,25,1,1,1
8,6,92,161,30,9,67,41,1,1,1
8,6,94,179,25,7,87,4,1,1,1
8,6,95,258,69,34,82,77,1,1,1
8,6,97,215,41,30,101,25,1,1,1
8,6,98,245,43,26,168,10,1,1,1
8,6,99,348,83,70,185,48,1,2,1
8,6,100,435,77,55,191,53,1,2,1
8,6,101,474,104,76,227,74,1,1,1
8,7,102,1557,200,347,659,165,1,2,2
8,7,103,1400,199,360,543,135,1,1,1
8,7,104,474,64,6,148,1,1,1,1
8,7,105,436,151,33,149,33,1,1,1
8,7,106,1171,173,116,357,5,1,1,1
8,7,107,681,105,85,248,57,1,1,1
8,7,108,661,122,84,239,37,1,1,1
8,7,109,486,43,6,169,0,1,1,1
8,7,110,1524,110,14,200,0,1,1,1
8,7,111,1723,120,39,247,1,1,1,1
8,7,112,661,83,33,206,5,1,1,1
8,7,113,2291,153,34,526,2,1,1,1
8,7,114,2532,211,327,786,83,1,1,1
8,7,115,776,98,63,228,3,1,1,1
8,8,116,1620,195,147,572,16,1,1,1
8,8,117,1352,99,32,288,3,1,1,1
8,8,118,520,63,25,207,1,1,1,1
8,8,119,1185,90,47,340,0,1,1,1
8,8,120,1059,75,13,219,0,1,1,1
8,8,121,1404,127,50,230,1,1,1,1
8,8,122,1158,98,13,300,0,1,1,1
8,8,123,975,106,28,249,0,1,1,1
8,8,124,461,57,5,184,0,1,1,1
8,8,125,874,86,57,170,1,1,1,1
8,8,126,880,90,13,294,0,1,1,1
8,9,127,149,25,30,98,3,1,1,1
8,9,128,586,78,136,297,16,1,1,1
8,9,129,2133,238,320,884,47,1,1,1
8,9,130,2458,254,507,1032,105,1,3,1
8,9,131,806,105,227,353,65,1,2,4
8,9,132,1829,242,418,778,88,1,2,1
8,9,133,2290,250,473,948,97,1,2,1
8,9,134,1004,123,272,433,46,1,1,1
8,9,135,1781,171,545,946,135,1,2,2
8,9,136,1529,213,488,736,168,1,2,2
8,9,137,3158,259,562,1510,145,1,4,1
8,9,138,660,71,58,291,4,1,1,1
8,9,139,337,58,17,146,0,1,1,1
8,9,140,144,31,10,75,0,1,1,1
8,9,141,480,85,9,226,0,1,1,1
8,9,142,212,34,6,85,0,1,1,1
8,9,143,321,58,24,171,0,1,1,1
8,9,144,1043,175,150,454,2,1,1,1
8,9,145,340,49,5,211,0,1,1,1
8,9,146,764,134,63,504,1,1,1,1
8,9,147,854,89,25,480,0,1,1,1
8,9,148,435,51,24,263,0,1,1,1
8,10,149,617,137,177,271,93,1,3,4
8,10,150,957,120,256,452,97,1,4,5
8,10,151,809,112,185,402,78,1,1,1
8,10,152,473,103,130,227,70,1,1,1
8,10,153,1860,148,335,863,111,1,1,1
8,10,154,507,57,63,239,42,1,1,1
8,10,155,325,75,51,169,28,1,1,1
8,10,156,1752,106,215,817,61,1,1,1
8,10,157,1289,132,180,658,55,1,1,1
8,10,158,1443,111,227,697,36,1,1,1
8,10,159,437,88,156,217,47,1,3,2
8,10,160,1129,148,161,452,28,1,1,1
8,10,161,1156,150,203,525,34,1,1,1
8,10,162,1105,127,166,479,30,1,1,1
8,10,163,614,127,151,253,59,1,1,1
8,10,164,1322,164,270,544,125,1,3,1
8,10,165,184,48,42,79,18,1,2,1
8,10,166,520,89,110,226,92,1,1,1
8,10,167,1469,149,145,595,89,1,1,1
8,10,168,1313,167,184,547,88,1,3,2
8,10,169,828,32,18,279,134,1,1,1
8,10,170,320,31,5,110,15,1,1,1
8,10,171,269,44,29,111,1,1,1,1
8,10,172,2243,218,214,1140,257,1,1,1
8,10,173,1282,189,221,571,104,1,1,1
8,10,174,934,223,118,438,12,1,1,1
8,11,175,591,92,112,318,55,1,1,1
8,11,176,611,162,226,313,139,1,1,1
8,11,177,431,113,205,202,101,1,4,2
8,11,178,563,159,254,300,126,1,16,1
8,11,179,320,71,162,140,79,1,5,1
8,11,180,449,56,128,206,36,1,1,1
8,11,181,479,115,171,239,78,1,3,1
8,11,182,411,118,172,184,96,1,2,1
8,11,183,471,150,193,216,89,1,3,1
8,11,184,489,119,254,241,142,1,1,1
8,11,185,1230,316,730,614,354,1,8,3
8,11,186,771,213,336,352,183,1,1,1
8,11,187,618,140,252,309,127,1,1,1
8,11,188,608,131,209,261,138,1,1,1
8,11,189,593,162,198,258,129,1,1,1
8,11,190,625,160,237,286,140,1,1,4
8,11,191,1980,315,677,862,360,1,1,1
8,11,192,6223,461,1762,3099,1090,1,4,1
8,11,193,801,183,252,400,158,1,6,2
